size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,scenario_id,milp_status,milp_reference_scope,milp_optimizes_rwct,milp_completion_time_scope,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,baseline_family,baseline_candidate_evaluations,baseline_generations,baseline_population_size,baseline_ant_count,baseline_best_order_score,alns_use_quantile,alns_risk_value_weight,alns_adaptive_enabled,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,alns_portfolio_candidate_count,alns_selected_portfolio_candidate,alns_selected_portfolio_infeasible_count,alns_selected_portfolio_rwct,alns_selected_portfolio_makespan,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,repair_energy_minimum_insert_repair_uses,repair_synchronization_aware_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,sortie_count,avg_towers_per_sortie,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
M,1,50,25,2,2,1,medium,greedy_nearest,kmeans,3,M50_P25_seed1_medium_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,100,,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.965709,459.137088,2211.203907,0.0,0.0,156.048026,0.25,0.25,50,1.0,0,0.002385,7909.336004424221,0.0,0.0
M,1,50,25,2,2,1,medium,ga,kmeans,3,M50_P25_seed1_medium_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,100,genetic_order_search,971.0,50.0,30.0,0.0,7689.881954,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.406416,588.402985,2209.459151,0.0,0.0,130.006547,0.916667,0.916667,50,1.0,0,0.04202,10682.446325424222,0.0,0.0
M,1,50,25,2,2,1,medium,aco,kmeans,3,M50_P25_seed1_medium_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,100,ant_colony_order_search,1200.0,50.0,0.0,24.0,6530.386351,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.495781,584.012929,2209.459151,0.0,0.0,127.360043,0.916667,0.916667,50,1.0,0,0.07782,10476.492807424223,0.0,0.0
M,1,50,25,2,2,1,medium,alns_fixed,kmeans,3,M50_P25_seed1_medium_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,100,,0.0,0.0,0.0,0.0,0.0,False,0.0,True,89.0,19.0,11.0,11.0,101.0,50.0,900.0,0.0,,0.0,0.0,0.0,23.0,24.0,16.0,14.0,23.0,35.0,26.0,22.0,17.0,417.724168,568.974667,2211.203907,0.0,0.0,195.059844,0.25,0.25,50,1.0,0,0.073322,9798.98271542422,0.0,0.0
M,1,50,25,2,2,1,medium,alns_pinn,kmeans,3,M50_P25_seed1_medium_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,100,,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.443854,611.63438,2209.459151,0.0,0.0,131.848809,0.916667,0.916667,50,1.0,0,0.018937,10924.281365424224,0.0,0.0
M,1,50,25,2,2,1,medium,alns_pinn_uq,kmeans,3,M50_P25_seed1_medium_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,100,,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.503325,611.035213,2209.459151,0.0,0.0,131.222544,1.0,1.0,50,1.0,0,0.021226,10895.899720424224,0.0,0.0
M,1,50,25,2,2,1,medium,alns_pinn_full,kmeans,3,M50_P25_seed1_medium_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,100,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,77.0,9.0,23.0,6.0,101.0,50.0,900.0,4.0,uq_local,0.0,131.222544,426.859968,23.0,20.0,20.0,14.0,23.0,39.0,35.0,15.0,11.0,450.503325,611.035213,2209.459151,0.0,0.0,131.222544,1.0,1.0,50,1.0,0,0.143392,10895.899720424224,0.0,0.0
M,2,75,35,3,3,0,medium,greedy_nearest,kmeans,3,M75_P35_seed0_medium_kmeans35,not_milp,not_milp,False,not_milp,2625,225,0.914286,155,,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409.353983,892.623922,3249.196185,0.0,0.0,193.574766,0.222222,0.222222,75,1.0,0,0.005029,14518.078612820034,0.0,0.0
M,2,75,35,3,3,0,medium,ga,kmeans,3,M75_P35_seed0_medium_kmeans35,not_milp,not_milp,False,not_milp,2625,225,0.914286,155,genetic_order_search,985.0,50.0,30.0,0.0,14031.104039,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.242242,1099.504001,3249.196185,0.0,0.0,141.95468,0.944444,0.944444,75,1.0,0,0.08849,18506.15739882004,0.0,0.0
M,2,75,35,3,3,0,medium,aco,kmeans,3,M75_P35_seed0_medium_kmeans35,not_milp,not_milp,False,not_milp,2625,225,0.914286,155,ant_colony_order_search,1200.0,50.0,0.0,24.0,11967.11693,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509.6025,1103.663675,3249.196185,0.0,0.0,142.541761,0.944444,0.944444,75,1.0,0,0.227079,18694.363634820038,0.0,0.0
