size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,scenario_id,milp_status,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
S,1,15,8,1,2,5,medium,alns_pinn_full,S15_P8_seed5_medium,not_milp,70.859985,91.944765,773.184562,0.0,0.0,11471.616075,1.0,0,0.000562,508.4639592991999,0.0,0.3709334270733225
S,1,15,8,1,2,6,medium,milp_highs,S15_P8_seed6_medium,optimal,61.545619,61.971874,699.742218,0.0,0.0,16244.976031,0.0,0,0.140771,140.8920347659353,0.017060599860910686,0.0
S,1,15,8,1,2,6,medium,alns_pinn,S15_P8_seed6_medium,not_milp,64.185681,88.524327,699.742218,0.0,0.0,11513.435382,0.666667,0,0.000758,416.699446044,0.0,4.2896018317729485
S,1,15,8,1,2,6,medium,alns_pinn_full,S15_P8_seed6_medium,not_milp,61.764964,109.329403,699.742218,0.0,0.0,11362.25886,0.666667,0,0.000568,416.1199160439999,0.0,0.3563941732391984
S,1,15,8,1,2,7,medium,milp_highs,S15_P8_seed7_medium,optimal,70.53266,54.336291,830.83257,0.0,0.0,15384.207493,0.333333,0,0.031069,154.30554914088378,0.009125143576268362,0.0
S,1,15,8,1,2,7,medium,alns_pinn,S15_P8_seed7_medium,not_milp,70.837786,101.443117,830.83257,0.0,0.0,7139.179101,0.666667,0,0.000768,464.75255203600005,0.0,0.4326024284352626
S,1,15,8,1,2,7,medium,alns_pinn_full,S15_P8_seed7_medium,not_milp,70.930705,99.975045,830.83257,0.0,0.0,7102.040965,0.666667,0,0.000602,465.99493203599997,0.0,0.5643413987222319
S,1,15,8,1,2,8,medium,milp_highs,S15_P8_seed8_medium,optimal,62.894671,53.672728,731.492724,0.0,0.0,11075.040009,0.333333,0,0.037974,142.5313009985046,0.017778483887654357,0.0
S,1,15,8,1,2,8,medium,alns_pinn,S15_P8_seed8_medium,not_milp,65.803684,82.497163,731.492724,0.0,0.0,5986.459591,1.0,0,0.000721,447.0847883704,0.0,4.625213795935115
S,1,15,8,1,2,8,medium,alns_pinn_full,S15_P8_seed8_medium,not_milp,62.077763,89.38163,731.492724,0.0,0.0,5992.187633,1.0,0,0.000589,449.3245523704,0.0,0.0
S,1,15,8,1,2,9,medium,milp_highs,S15_P8_seed9_medium,optimal,68.89316,51.162914,802.253845,0.0,0.0,16269.660781,0.333333,0,0.171519,149.8677575723872,0.01868422863198041,0.0
S,1,15,8,1,2,9,medium,alns_pinn,S15_P8_seed9_medium,not_milp,72.393328,105.043069,802.253845,0.0,0.0,8119.068972,1.0,0,0.000725,460.14696777439997,0.0,5.0805740366677945
