case_id,seed,method,solver_method,tower_count,stop_count,vehicle_count,uav_count,iterations,scenario_id,objective_value,solver_runtime,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,missed_value,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates
public_bay_area_full,5,ga,ga,60,30,3,6,50,public_bay_area_full_seed5,8654.17455133759,0.057574,304.349957,474.633741,2520.255932,0.0,0.0,108.099737,1.0,1.0,0,0.0,0.0,0.0,0.0
public_bay_area_full,5,aco,aco,60,30,3,6,50,public_bay_area_full_seed5,8434.89060033759,0.090478,299.285345,463.503723,2520.255932,0.0,0.0,105.479344,1.0,1.0,0,0.0,0.0,0.0,0.0
public_bay_area_full,5,alns_fixed,alns_fixed,60,30,3,6,80,public_bay_area_full_seed5,8338.49066933759,0.090207,329.548812,528.871214,2520.255932,0.0,0.0,148.785481,0.2,0.2,0,75.0,24.0,5.0,19.0
public_bay_area_full,5,alns_pinn,alns_point,60,30,3,6,80,public_bay_area_full_seed5,8773.55945033759,0.026493,312.553435,515.447517,2520.255932,0.0,0.0,108.814764,0.933333,0.933333,0,0.0,0.0,0.0,0.0
public_bay_area_full,5,alns_pinn_uq,uq_alns,60,30,3,6,80,public_bay_area_full_seed5,8741.460011337591,0.02241,306.194875,493.751105,2520.255932,0.0,0.0,108.598676,0.933333,0.933333,0,0.0,0.0,0.0,0.0
public_bay_area_full,5,alns_pinn_full,alns_full,60,30,3,6,80,public_bay_area_full_seed5,8442.485199337589,0.112573,297.615272,452.307036,2520.255932,0.0,0.0,105.533307,1.0,1.0,0,67.0,18.0,13.0,6.0
public_bay_area_full,6,greedy_nearest,greedy_nearest,60,30,3,6,0,public_bay_area_full_seed6,8549.560731337588,0.005103,323.252792,510.155072,2520.255932,0.0,0.0,141.917247,0.4,0.4,0,0.0,0.0,0.0,0.0
public_bay_area_full,6,ga,ga,60,30,3,6,50,public_bay_area_full_seed6,8654.17455133759,0.05618,304.349957,474.633741,2520.255932,0.0,0.0,108.099737,1.0,1.0,0,0.0,0.0,0.0,0.0
public_bay_area_full,6,aco,aco,60,30,3,6,50,public_bay_area_full_seed6,8434.89060033759,0.092796,299.285345,463.503723,2520.255932,0.0,0.0,105.479344,1.0,1.0,0,0.0,0.0,0.0,0.0
public_bay_area_full,6,alns_fixed,alns_fixed,60,30,3,6,80,public_bay_area_full_seed6,8338.49066933759,0.085133,329.548812,528.871214,2520.255932,0.0,0.0,148.785481,0.2,0.2,0,73.0,24.0,7.0,16.0
