stress_case,seed,method,solver_method,tower_count,stop_count,vehicle_count,uav_count,battery_capacity,reserve_ratio,quantile_z,wind_speed,temperature,objective_value,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates
tight_battery,3,no_energy_repair,alns_full_no_energy_repair,75,24,3,6,108.0,0.22,1.96,9.5,32.0,6572.463732811199,241.737203,824.712758,9957.150145,0.453333,0.453333,149118.468972,0.722222,2468.0595,0.149572,126.0,15.0,14.0,12.0
tight_battery,3,no_sync_repair,alns_full_no_sync_repair,75,24,3,6,108.0,0.22,1.96,9.5,32.0,6572.463732811199,241.737203,824.712758,9957.150145,0.453333,0.453333,149118.468972,0.722222,2468.0595,0.157416,124.0,23.0,16.0,11.0
tight_battery,3,no_uq,rv_alns,75,24,3,6,108.0,0.22,1.96,9.5,32.0,7957.872029731199,228.32361,869.349487,9933.622788,0.72,0.72,164211.643023,0.888889,2041.772,0.026462,0.0,0.0,0.0,0.0
tight_battery,3,no_risk_value,uq_alns,75,24,3,6,108.0,0.22,1.96,9.5,32.0,8050.549355811199,237.247424,980.796817,9957.150145,0.453333,0.453333,168117.516086,0.888889,2468.0595,0.027626,0.0,0.0,0.0,0.0
tight_battery,3,alns_fixed,alns_fixed,75,24,3,6,108.0,0.22,1.96,9.5,32.0,5601.6461112912,247.163663,754.837262,9938.200723,0.72,0.72,174189.290075,0.277778,2041.772,0.113885,130.0,7.0,10.0,7.0
tight_battery,4,alns_pinn_full,alns_full,75,24,3,6,108.0,0.22,1.96,9.5,32.0,8089.554637186399,246.611432,885.118337,10485.779159,0.453333,0.453333,174042.986951,0.666667,2829.0823,0.141181,111.0,16.0,29.0,13.0
tight_battery,4,no_energy_repair,alns_full_no_energy_repair,75,24,3,6,108.0,0.22,1.96,9.5,32.0,8089.554637186399,246.611432,885.118337,10485.779159,0.453333,0.453333,174042.986951,0.666667,2829.0823,0.140132,121.0,22.0,19.0,14.0
tight_battery,4,no_sync_repair,alns_full_no_sync_repair,75,24,3,6,108.0,0.22,1.96,9.5,32.0,8089.554637186399,246.611432,885.118337,10485.779159,0.453333,0.453333,174042.986951,0.666667,2829.0823,0.144591,119.0,11.0,21.0,11.0
tight_battery,4,no_uq,rv_alns,75,24,3,6,108.0,0.22,1.96,9.5,32.0,9313.145089626401,234.298359,903.732088,10460.990186,0.733333,0.733333,188164.969987,0.777778,2348.7812,0.02907,0.0,0.0,0.0,0.0
tight_battery,4,no_risk_value,uq_alns,75,24,3,6,108.0,0.22,1.96,9.5,32.0,9357.516640186399,238.126064,852.615624,10485.779159,0.453333,0.453333,189674.228421,0.666667,2829.0823,0.026791,0.0,0.0,0.0,0.0
tight_battery,4,alns_fixed,alns_fixed,75,24,3,6,108.0,0.22,1.96,9.5,32.0,5597.113000626399,238.569969,704.942279,10460.990186,0.733333,0.733333,241317.711545,0.111111,2348.7812,0.130396,127.0,27.0,13.0,18.0
tight_battery,5,alns_pinn_full,alns_full,75,24,3,6,108.0,0.22,1.96,9.5,32.0,6841.3541834376,243.368891,826.546779,10259.117509,0.493333,0.493333,109605.477947,0.722222,2896.9756,0.134202,115.0,23.0,25.0,15.0
tight_battery,5,no_energy_repair,alns_full_no_energy_repair,75,24,3,6,108.0,0.22,1.96,9.5,32.0,6841.3541834376,243.368891,826.546779,10259.117509,0.493333,0.493333,109605.477947,0.722222,2896.9756,0.136424,123.0,14.0,17.0,13.0
tight_battery,5,no_sync_repair,alns_full_no_sync_repair,75,24,3,6,108.0,0.22,1.96,9.5,32.0,6841.3541834376,243.368891,826.546779,10259.117509,0.493333,0.493333,109605.477947,0.722222,2896.9756,0.159097,124.0,13.0,16.0,13.0
tight_battery,5,no_uq,rv_alns,75,24,3,6,108.0,0.22,1.96,9.5,32.0,8538.8817323576,233.669398,1028.010093,10236.16177,0.76,0.76,117364.519513,0.888889,2016.6132,0.026932,0.0,0.0,0.0,0.0
tight_battery,5,no_risk_value,uq_alns,75,24,3,6,108.0,0.22,1.96,9.5,32.0,8507.591264437599,229.528986,839.716487,10259.117509,0.493333,0.493333,117997.050822,0.833333,2896.9756,0.028406,0.0,0.0,0.0,0.0
tight_battery,5,alns_fixed,alns_fixed,75,24,3,6,108.0,0.22,1.96,9.5,32.0,5861.900828837601,247.404058,772.214148,10238.163782,0.76,0.76,162199.000469,0.166667,2016.6132,0.124787,128.0,18.0,12.0,11.0
tight_battery,6,alns_pinn_full,alns_full,75,24,3,6,108.0,0.22,1.96,9.5,32.0,6409.6448406360005,239.858809,832.979141,10272.570666,0.493333,0.493333,106299.964445,0.722222,2404.3228,0.146057,112.0,35.0,28.0,13.0
tight_battery,6,no_energy_repair,alns_full_no_energy_repair,75,24,3,6,108.0,0.22,1.96,9.5,32.0,6409.6448406360005,239.858809,832.979141,10272.570666,0.493333,0.493333,106299.964445,0.722222,2404.3228,0.147852,125.0,29.0,15.0,15.0
tight_battery,6,no_sync_repair,alns_full_no_sync_repair,75,24,3,6,108.0,0.22,1.96,9.5,32.0,6409.6448406360005,239.858809,832.979141,10272.570666,0.493333,0.493333,106299.964445,0.722222,2404.3228,0.126605,122.0,15.0,18.0,10.0
tight_battery,6,no_uq,rv_alns,75,24,3,6,108.0,0.22,1.96,9.5,32.0,7677.216675275999,246.976602,924.735889,10249.292609,0.76,0.76,112713.818517,0.944444,1810.002,0.029148,0.0,0.0,0.0,0.0
tight_battery,6,no_risk_value,uq_alns,75,24,3,6,108.0,0.22,1.96,9.5,32.0,7696.796619635999,236.432933,909.447832,10272.570666,0.493333,0.493333,113957.347808,0.888889,2404.3228,0.024328,0.0,0.0,0.0,0.0
tight_battery,6,alns_fixed,alns_fixed,75,24,3,6,108.0,0.22,1.96,9.5,32.0,5586.573967036001,238.660457,855.081571,10252.453441,0.76,0.76,135476.272583,0.166667,1810.002,0.115849,123.0,17.0,17.0,11.0
tight_battery,7,alns_pinn_full,alns_full,75,24,3,6,108.0,0.22,1.96,9.5,32.0,6839.306943499201,239.835665,889.868626,10165.26771,0.466667,0.466667,131303.731581,0.777778,3083.9991,0.142142,115.0,16.0,25.0,12.0
tight_battery,7,no_energy_repair,alns_full_no_energy_repair,75,24,3,6,108.0,0.22,1.96,9.5,32.0,6839.306943499201,239.835665,889.868626,10165.26771,0.466667,0.466667,131303.731581,0.777778,3083.9991,0.14853,129.0,22.0,11.0,14.0
tight_battery,7,no_sync_repair,alns_full_no_sync_repair,75,24,3,6,108.0,0.22,1.96,9.5,32.0,6839.306943499201,239.835665,889.868626,10165.26771,0.466667,0.466667,131303.731581,0.777778,3083.9991,0.131115,124.0,17.0,16.0,13.0
tight_battery,7,no_uq,rv_alns,75,24,3,6,108.0,0.22,1.96,9.5,32.0,8587.4241926192,231.259096,894.700282,10138.181732,0.773333,0.773333,146722.806684,0.888889,2335.5948,0.030079,0.0,0.0,0.0,0.0
tight_battery,7,no_risk_value,uq_alns,75,24,3,6,108.0,0.22,1.96,9.5,32.0,8583.356804499203,241.03249,921.097308,10165.26771,0.466667,0.466667,147830.969798,0.888889,3083.9991,0.0323,0.0,0.0,0.0,0.0
