stress_case,seed,method,solver_method,tower_count,stop_count,vehicle_count,uav_count,battery_capacity,reserve_ratio,quantile_z,wind_speed,temperature,objective_value,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,missed_value,solver_runtime,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates
sparse_high_wind,5,alns_fixed,alns_fixed,75,18,3,6,125.0,0.2,1.96,12.0,34.0,8686.729026845598,371.534768,656.894538,16305.938049,0.746667,0.746667,261804.129252,0.277778,0.277778,2975.6335,0.070238,132.0,26.0,8.0,15.0
sparse_high_wind,6,alns_pinn_full,alns_full,75,18,3,6,125.0,0.2,1.96,12.0,34.0,9945.0390930632,350.737546,707.110721,15987.993411,0.546667,0.546667,209412.198928,0.555556,0.388889,3196.8348,0.083252,115.0,22.0,25.0,11.0
sparse_high_wind,6,no_energy_repair,alns_full_no_energy_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,9945.0390930632,350.737546,707.110721,15987.993411,0.546667,0.546667,209412.198928,0.555556,0.388889,3196.8348,0.097587,125.0,25.0,15.0,12.0
sparse_high_wind,6,no_sync_repair,alns_full_no_sync_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,9945.0390930632,350.737546,707.110721,15987.993411,0.546667,0.546667,209412.198928,0.555556,0.388889,3196.8348,0.084885,123.0,19.0,17.0,16.0
sparse_high_wind,6,no_uq,alns_full_no_uq,75,18,3,6,125.0,0.2,1.96,12.0,34.0,10131.2784302232,345.223492,753.118305,15967.218914,0.76,0.76,205826.809793,0.555556,0.111111,3095.0389,0.083392,120.0,29.0,20.0,15.0
sparse_high_wind,6,no_risk_value,alns_full_no_risk_value,75,18,3,6,125.0,0.2,1.96,12.0,34.0,8525.9017640632,353.453408,701.530272,15987.993411,0.546667,0.546667,263990.285882,0.111111,0.111111,3196.8348,0.08319,126.0,19.0,14.0,15.0
sparse_high_wind,6,alns_fixed,alns_fixed,75,18,3,6,125.0,0.2,1.96,12.0,34.0,8422.1622185432,350.974281,656.853874,15988.385786,0.76,0.76,260185.28556,0.111111,0.111111,3095.0389,0.066728,126.0,19.0,14.0,15.0
sparse_high_wind,7,alns_pinn_full,alns_full,75,18,3,6,125.0,0.2,1.96,12.0,34.0,11045.486878825599,366.989067,701.409852,15920.975696,0.533333,0.533333,254814.950181,0.555556,0.277778,3426.0351,0.087003,115.0,20.0,25.0,15.0
sparse_high_wind,7,no_energy_repair,alns_full_no_energy_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,11045.486878825599,366.989067,701.409852,15920.975696,0.533333,0.533333,254814.950181,0.555556,0.277778,3426.0351,0.088689,125.0,18.0,15.0,16.0
sparse_high_wind,7,no_sync_repair,alns_full_no_sync_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,11045.486878825599,366.989067,701.409852,15920.975696,0.533333,0.533333,254814.950181,0.555556,0.277778,3426.0351,0.083693,126.0,18.0,14.0,18.0
sparse_high_wind,7,no_uq,alns_full_no_uq,75,18,3,6,125.0,0.2,1.96,12.0,34.0,11426.116976305602,351.712563,666.986067,15903.911758,0.706667,0.706667,254375.599638,0.666667,0.222222,3213.5352,0.088706,112.0,13.0,28.0,11.0
sparse_high_wind,7,no_risk_value,alns_full_no_risk_value,75,18,3,6,125.0,0.2,1.96,12.0,34.0,8359.189289825597,355.16654,662.958274,15920.975696,0.533333,0.533333,330808.408506,0.111111,0.111111,3426.0351,0.080966,128.0,15.0,12.0,13.0
sparse_high_wind,7,alns_fixed,alns_fixed,75,18,3,6,125.0,0.2,1.96,12.0,34.0,8286.7298926256,353.692042,645.339534,15917.791766,0.706667,0.706667,327532.559795,0.111111,0.111111,3213.5352,0.070467,128.0,15.0,12.0,13.0
sparse_high_wind,8,alns_pinn_full,alns_full,75,18,3,6,125.0,0.2,1.96,12.0,34.0,9389.246480548802,348.46644,741.311097,15858.846419,0.546667,0.546667,150353.140211,0.555556,0.444444,2835.3611,0.090592,112.0,20.0,28.0,15.0
sparse_high_wind,8,no_energy_repair,alns_full_no_energy_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,9389.246480548802,348.46644,741.311097,15858.846419,0.546667,0.546667,150353.140211,0.555556,0.444444,2835.3611,0.094776,124.0,25.0,16.0,21.0
