stress_case,seed,method,solver_method,tower_count,stop_count,vehicle_count,uav_count,battery_capacity,reserve_ratio,quantile_z,wind_speed,temperature,objective_value,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,sortie_count,avg_towers_per_sortie,missed_value,solver_runtime,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates
sparse_high_wind,5,no_sync_repair,alns_full_no_sync_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,18410.035734457742,590.901994,480.774194,16321.615672,0.586667,0.586667,154.546998,0.666667,0.388889,75,1.0,3336.9531,0.314109,126.0,9.0,14.0,9.0
sparse_high_wind,5,no_uq,alns_full_no_uq,75,18,3,6,125.0,0.2,1.96,12.0,34.0,17006.71489785774,573.011201,426.507845,16305.938049,0.746667,0.746667,139.794731,0.722222,0.277778,75,1.0,2975.6335,0.314579,112.0,19.0,28.0,13.0
sparse_high_wind,5,no_risk_value,alns_full_no_risk_value,75,18,3,6,125.0,0.2,1.96,12.0,34.0,16943.489687457743,544.493204,434.25516,16321.615672,0.586667,0.586667,228.196142,0.277778,0.277778,75,1.0,3336.9531,0.241936,124.0,27.0,16.0,22.0
sparse_high_wind,5,alns_fixed,alns_fixed,75,18,3,6,125.0,0.2,1.96,12.0,34.0,16813.610686857737,541.545803,434.25516,16305.938049,0.746667,0.746667,226.188896,0.277778,0.277778,75,1.0,2975.6335,0.285845,131.0,20.0,9.0,8.0
sparse_high_wind,6,alns_pinn_full,alns_full,75,18,3,6,125.0,0.2,1.96,12.0,34.0,18306.977444112035,605.401125,510.684526,15987.993411,0.546667,0.546667,156.746413,0.555556,0.388889,75,1.0,3196.8348,0.373918,111.0,14.0,29.0,14.0
sparse_high_wind,6,no_energy_repair,alns_full_no_energy_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,18306.977444112035,605.401125,510.684526,15987.993411,0.546667,0.546667,156.746413,0.555556,0.388889,75,1.0,3196.8348,0.287143,123.0,20.0,17.0,20.0
sparse_high_wind,6,no_sync_repair,alns_full_no_sync_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,18306.977444112035,605.401125,510.684526,15987.993411,0.546667,0.546667,156.746413,0.555556,0.388889,75,1.0,3196.8348,0.221227,123.0,20.0,17.0,20.0
sparse_high_wind,6,no_uq,alns_full_no_uq,75,18,3,6,125.0,0.2,1.96,12.0,34.0,20096.348557272042,654.519549,607.501519,15967.218914,0.76,0.76,168.090929,0.611111,0.222222,75,1.0,3095.0389,0.315566,112.0,29.0,28.0,13.0
sparse_high_wind,6,no_risk_value,alns_full_no_risk_value,75,18,3,6,125.0,0.2,1.96,12.0,34.0,16686.67674211204,569.363249,479.724417,15987.993411,0.546667,0.546667,211.339995,0.222222,0.222222,75,1.0,3196.8348,0.232665,126.0,19.0,14.0,15.0
sparse_high_wind,6,alns_fixed,alns_fixed,75,18,3,6,125.0,0.2,1.96,12.0,34.0,16529.63923459204,563.228341,476.126924,15988.385786,0.76,0.76,209.264983,0.222222,0.222222,75,1.0,3095.0389,0.233042,126.0,19.0,14.0,15.0
sparse_high_wind,7,alns_pinn_full,alns_full,75,18,3,6,125.0,0.2,1.96,12.0,34.0,19756.998878821963,635.443523,593.515414,15920.975696,0.533333,0.533333,181.307175,0.5,0.277778,75,1.0,3426.0351,0.187361,115.0,16.0,25.0,16.0
