stress_case,seed,method,solver_method,tower_count,stop_count,vehicle_count,uav_count,battery_capacity,reserve_ratio,quantile_z,wind_speed,temperature,objective_value,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,missed_value,solver_runtime,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates
sparse_high_wind,5,no_sync_repair,alns_full_no_sync_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,19208.41055645774,590.901994,480.774194,16321.615672,0.586667,0.586667,166.321642,0.666667,0.388889,3336.9531,0.131766,126.0,9.0,14.0,9.0
sparse_high_wind,5,no_uq,alns_full_no_uq,75,18,3,6,125.0,0.2,1.96,12.0,34.0,17795.548415857735,573.011201,426.507845,16305.938049,0.746667,0.746667,151.464288,0.722222,0.277778,2975.6335,0.126118,112.0,19.0,28.0,13.0
sparse_high_wind,5,no_risk_value,alns_full_no_risk_value,75,18,3,6,125.0,0.2,1.96,12.0,34.0,17741.864499457733,544.493204,434.25516,16321.615672,0.586667,0.586667,239.970786,0.277778,0.277778,3336.9531,0.167394,124.0,27.0,16.0,22.0
sparse_high_wind,5,alns_fixed,alns_fixed,75,18,3,6,125.0,0.2,1.96,12.0,34.0,17602.444199857742,541.545803,434.25516,16305.938049,0.746667,0.746667,237.858453,0.277778,0.277778,2975.6335,0.104915,131.0,20.0,9.0,8.0
sparse_high_wind,6,alns_pinn_full,alns_full,75,18,3,6,125.0,0.2,1.96,12.0,34.0,19082.754746112038,605.401125,510.684526,15987.993411,0.546667,0.546667,166.887702,0.555556,0.388889,3196.8348,0.132124,111.0,14.0,29.0,14.0
sparse_high_wind,6,no_energy_repair,alns_full_no_energy_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,19082.754746112038,605.401125,510.684526,15987.993411,0.546667,0.546667,166.887702,0.555556,0.388889,3196.8348,0.156436,123.0,20.0,17.0,20.0
sparse_high_wind,6,no_sync_repair,alns_full_no_sync_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,19082.754746112038,605.401125,510.684526,15987.993411,0.546667,0.546667,166.887702,0.555556,0.388889,3196.8348,0.151707,123.0,20.0,17.0,20.0
sparse_high_wind,6,no_uq,alns_full_no_uq,75,18,3,6,125.0,0.2,1.96,12.0,34.0,20859.129153272042,654.519549,607.501519,15967.218914,0.76,0.76,178.079584,0.611111,0.222222,3095.0389,0.126925,112.0,29.0,28.0,13.0
sparse_high_wind,6,no_risk_value,alns_full_no_risk_value,75,18,3,6,125.0,0.2,1.96,12.0,34.0,17462.45404811204,569.363249,479.724417,15987.993411,0.546667,0.546667,221.481284,0.222222,0.222222,3196.8348,0.141974,126.0,19.0,14.0,15.0
sparse_high_wind,6,alns_fixed,alns_fixed,75,18,3,6,125.0,0.2,1.96,12.0,34.0,17290.662165592035,563.228341,476.126924,15988.385786,0.76,0.76,219.219124,0.222222,0.222222,3095.0389,0.108961,126.0,19.0,14.0,15.0
sparse_high_wind,7,alns_pinn_full,alns_full,75,18,3,6,125.0,0.2,1.96,12.0,34.0,20533.475416821962,635.443523,593.515414,15920.975696,0.533333,0.533333,193.370148,0.444444,0.277778,3426.0351,0.146863,115.0,16.0,25.0,16.0
sparse_high_wind,7,no_energy_repair,alns_full_no_energy_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,20533.475416821962,635.443523,593.515414,15920.975696,0.533333,0.533333,193.370148,0.444444,0.277778,3426.0351,0.135694,123.0,15.0,17.0,15.0
sparse_high_wind,7,no_sync_repair,alns_full_no_sync_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,20533.475416821962,635.443523,593.515414,15920.975696,0.533333,0.533333,193.370148,0.444444,0.277778,3426.0351,0.14612,123.0,15.0,17.0,15.0
sparse_high_wind,7,no_uq,alns_full_no_uq,75,18,3,6,125.0,0.2,1.96,12.0,34.0,20156.083390301963,605.59798,528.73868,15903.911758,0.706667,0.706667,174.359914,0.444444,0.222222,3213.5352,0.118842,114.0,15.0,26.0,11.0
sparse_high_wind,7,no_risk_value,alns_full_no_risk_value,75,18,3,6,125.0,0.2,1.96,12.0,34.0,16788.052098821958,534.679848,416.08845,15920.975696,0.533333,0.533333,238.615556,0.111111,0.111111,3426.0351,0.121588,128.0,15.0,12.0,13.0
sparse_high_wind,7,alns_fixed,alns_fixed,75,18,3,6,125.0,0.2,1.96,12.0,34.0,16266.03416162196,526.091733,386.406696,15917.791766,0.706667,0.706667,232.200753,0.111111,0.111111,3213.5352,0.1095,128.0,15.0,12.0,13.0
