stress_case,seed,method,solver_method,tower_count,stop_count,vehicle_count,uav_count,battery_capacity,reserve_ratio,quantile_z,wind_speed,temperature,objective_value,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates
sparse_high_wind,7,no_sync_repair,alns_full_no_sync_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,11045.486878825599,366.989067,701.409852,15920.975696,0.533333,0.533333,254814.950181,0.555556,3426.0351,0.090819,126.0,18.0,14.0,18.0
sparse_high_wind,7,no_uq,rv_alns,75,18,3,6,125.0,0.2,1.96,12.0,34.0,14376.8458193056,341.665017,678.668829,15903.911758,0.706667,0.706667,295285.145566,0.944444,3213.5352,0.018364,0.0,0.0,0.0,0.0
sparse_high_wind,7,no_risk_value,uq_alns,75,18,3,6,125.0,0.2,1.96,12.0,34.0,14314.0037538256,341.711911,687.385544,15920.975696,0.533333,0.533333,295517.392692,0.888889,3426.0351,0.016899,0.0,0.0,0.0,0.0
sparse_high_wind,7,alns_fixed,alns_fixed,75,18,3,6,125.0,0.2,1.96,12.0,34.0,8286.7298926256,353.692042,645.339534,15917.791766,0.706667,0.706667,327532.559795,0.111111,3213.5352,0.063118,131.0,14.0,9.0,14.0
sparse_high_wind,8,alns_pinn_full,alns_full,75,18,3,6,125.0,0.2,1.96,12.0,34.0,9389.246480548802,348.46644,741.311097,15858.846419,0.546667,0.546667,150353.140211,0.555556,2835.3611,0.077234,112.0,20.0,28.0,15.0
sparse_high_wind,8,no_energy_repair,alns_full_no_energy_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,9389.246480548802,348.46644,741.311097,15858.846419,0.546667,0.546667,150353.140211,0.555556,2835.3611,0.09992,124.0,25.0,16.0,21.0
sparse_high_wind,8,no_sync_repair,alns_full_no_sync_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,9389.246480548802,348.46644,741.311097,15858.846419,0.546667,0.546667,150353.140211,0.555556,2835.3611,0.095398,127.0,13.0,13.0,13.0
sparse_high_wind,8,no_uq,rv_alns,75,18,3,6,125.0,0.2,1.96,12.0,34.0,12960.166304988797,349.328734,749.140767,15842.690186,0.706667,0.706667,173602.397344,0.833333,2556.3669,0.023485,0.0,0.0,0.0,0.0
sparse_high_wind,8,no_risk_value,uq_alns,75,18,3,6,125.0,0.2,1.96,12.0,34.0,12998.3779085488,348.869393,760.068261,15858.846419,0.546667,0.546667,175454.836132,0.833333,2835.3611,0.026352,0.0,0.0,0.0,0.0
sparse_high_wind,8,alns_fixed,alns_fixed,75,18,3,6,125.0,0.2,1.96,12.0,34.0,8266.907008188798,346.290209,724.41842,15853.404383,0.706667,0.706667,200764.61556,0.277778,2556.3669,0.093434,129.0,22.0,11.0,19.0
sparse_high_wind,9,alns_pinn_full,alns_full,75,18,3,6,125.0,0.2,1.96,12.0,34.0,10102.475750181597,358.139174,654.497023,16241.493564,0.546667,0.546667,149385.349092,0.611111,2842.8024,0.100306,113.0,30.0,27.0,14.0
