tower_id,stop_id,uav_id,start,finish,energy_mean,energy_q95,feasible,value,risk,vehicle_id,vehicle_arrival,vehicle_departure,road_travel,priority,sortie_id,risk_value,duration,service_rank,id_tower,x_tower,y_tower,risk_value_tower,id_stop,x_stop,y_stop,q95_margin,case_id,battery_limit,metrics_rwct,metrics_topcov,metrics_ifr
51,25,1,125.899621,131.899221,37.456489,46.726156,True,106.8635,0.6249,1,125.182229,132.616612,12.623397,0.017068777176,27,0.01706877717573748,5.999600000000015,28,51,5.923303,0.168972,0.01706877717573748,25,6.270055,0.595895,85.273844,public_bay_area_full,132.0,104.570332,1.0,0.0
49,24,2,127.877488,133.865888,34.341443,42.840204,True,106.5415,0.6221,2,127.35575,134.387627,4.225087,0.016847346375,28,0.01684734637536714,5.988400000000013,29,49,5.475038,10.017654,0.01684734637536714,24,5.727221,10.328143,89.159796,public_bay_area_full,132.0,104.570332,1.0,0.0
32,15,0,129.326681,135.273081,31.254567,38.989393,True,105.334,0.6116,0,128.999487,135.600275,4.982224,0.016028783654,29,0.01602878365388921,5.946399999999983,30,32,1.226054,10.952315,0.01602878365388921,15,1.019523,11.094688,93.010607,public_bay_area_full,132.0,104.570332,1.0,0.0
35,17,2,143.55537,149.41977,40.064163,49.979173,True,102.9765,0.5911,2,142.642327,150.332814,8.2547,0.014484347855,32,0.014484347854550706,5.864399999999989,31,35,2.600388,1.254959,0.014484347854550706,17,3.041709,1.798315,82.020827,public_bay_area_full,132.0,104.570332,1.0,0.0
5,2,1,147.223858,152.895858,35.365538,44.11774,True,109.445,0.543,1,146.588414,153.531302,13.971802,0.015746575456,30,0.015746575456128533,5.671999999999997,32,5,-6.543009,-8.223377,0.015746575456128533,2,-6.335661,-7.782531,87.88226,public_bay_area_full,132.0,104.570332,1.0,0.0
4,2,4,147.501458,153.057858,39.545343,49.331956,True,106.1215,0.5141,1,146.588414,153.970901,0.0,0.013670057646,34,0.013670057645826551,5.5563999999999965,33,4,-6.776982,-8.325887,0.013670057645826551,2,-6.335661,-7.782531,82.66804400000001,public_bay_area_full,132.0,104.570332,1.0,0.0
13,5,0,150.910007,156.613207,61.281879,76.447812,True,110.342,0.5508,0,148.63755,158.885663,13.037276,0.016331213507,31,0.01633121350661583,5.703199999999981,34,13,-5.994298,-3.055986,0.01633121350661583,5,-5.670374,-1.344147,55.552188,public_bay_area_full,132.0,104.570332,1.0,0.0
9,3,2,160.195074,165.751474,38.084126,47.509119,True,106.1215,0.5141,2,159.332869,166.613679,9.000056,0.013670057646,33,0.013670057645826551,5.5563999999999965,35,9,-6.124106,4.293409,0.013670057645826551,3,-6.184338,4.951683,84.490881,public_bay_area_full,132.0,104.570332,1.0,0.0
53,26,1,168.693264,174.486064,39.59479,49.39364,True,100.918,0.5732,1,167.780221,175.399108,13.80932,0.013193885228,36,0.013193885228484,5.7928,36,53,6.531154,-1.492294,0.013193885228484,26,6.972475,-0.948938,82.60636,public_bay_area_full,132.0,104.570332,1.0,0.0
45,22,0,171.400546,177.190146,36.970425,46.119802,True,100.826,0.5724,0,170.683154,177.907537,11.797491,0.013137475293,35,0.013137475293443468,5.789600000000007,37,45,4.321507,5.742703,0.013137475293443468,22,4.668259,6.169626,85.88019800000001,public_bay_area_full,132.0,104.570332,1.0,0.0
30,15,2,176.774345,182.483145,47.888619,59.740011,True,98.503,0.5522,2,175.35284,183.904649,8.739161,0.011748976487,37,0.011748976486933179,5.7087999999999965,38,30,0.045413,10.605998,0.011748976486933179,15,1.019523,11.094688,72.25998899999999,public_bay_area_full,132.0,104.570332,1.0,0.0
43,21,1,181.542294,187.206294,33.45594,41.735558,True,97.215,0.541,1,181.020555,187.728032,5.621448,0.011008838653,39,0.011008838652893359,5.664000000000016,39,43,3.982451,4.180346,0.011008838652893359,21,4.234634,4.490835,90.264442,public_bay_area_full,132.0,104.570332,1.0,0.0
18,8,0,187.533406,192.938206,32.448701,40.479049,True,101.763,0.4762,0,187.045768,193.425844,9.138231,0.011160846422,38,0.011160846421675155,5.4047999999999945,40,18,-5.005909,4.943077,0.011160846421675155,8,-5.190371,5.268257,91.520951,public_bay_area_full,132.0,104.570332,1.0,0.0
56,27,1,192.303733,197.980133,44.395186,55.38203,True,97.5715,0.5441,1,191.063224,199.220643,3.335191,0.011211576014,40,0.011211576013529298,5.676400000000001,41,56,7.562827,5.149678,0.011211576013529298,27,7.471458,6.096336,76.61797,public_bay_area_full,132.0,104.570332,1.0,0.0
7,1,2,195.205398,200.604198,41.931005,52.308017,True,101.5905,0.4747,2,194.079094,201.730502,10.174445,0.011066532217,41,0.011066532216923802,5.398799999999994,42,7,-6.206514,3.579592,0.011066532216923802,1,-7.069563,3.607491,79.691983,public_bay_area_full,132.0,104.570332,1.0,0.0
