size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,scenario_id,milp_status,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,repair_energy_minimum_insert_repair_uses,repair_synchronization_aware_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
M,0,30,15,2,2,7,medium,alns_pinn_full,kmeans,3,M30_P15_seed7_medium_kmeans15,not_milp,450,90,0.8,63,79.0,26.0,21.0,3.0,101.0,30.0,500.0,26.0,21.0,22.0,16.0,15.0,36.0,34.0,12.0,18.0,62.428631,275.510878,1260.061344,0.0,0.0,17831.225601,0.857143,0,0.018661,750.4018093023999,0.0,0.0
M,0,30,15,2,2,7,medium,alns_pinn_full,dbscan,3,M30_P15_seed7_medium_dbscan3,not_milp,90,58,0.355556,14,75.0,12.0,25.0,7.0,101.0,30.0,500.0,22.0,24.0,23.0,15.0,16.0,42.0,31.0,13.0,14.0,135.995636,212.872313,3323.705652,0.3,0.3,40444.749821,0.714286,757.28,0.006244,1888.3221998624003,0.0,0.0
M,0,30,15,2,2,8,medium,alns_pinn_full,direct,3,M30_P15_seed8_medium,not_milp,450,450,0.0,450,75.0,23.0,25.0,3.0,101.0,30.0,500.0,23.0,19.0,19.0,21.0,18.0,28.0,38.0,17.0,17.0,68.314301,289.422164,1614.479344,0.0,0.0,21096.287464,1.0,0,0.018923,920.8894792424,0.0,0.0
M,0,30,15,2,2,8,medium,alns_pinn_full,kmeans,3,M30_P15_seed8_medium_kmeans15,not_milp,450,90,0.8,49,75.0,24.0,25.0,4.0,101.0,30.0,500.0,23.0,23.0,19.0,15.0,20.0,19.0,46.0,18.0,17.0,61.77409,257.380148,1383.477172,0.0,0.0,17294.705421,0.857143,0,0.018979,745.6178348824,0.0,0.0
M,0,30,15,2,2,8,medium,alns_pinn_full,dbscan,3,M30_P15_seed8_medium_dbscan3,not_milp,90,54,0.4,12,78.0,18.0,22.0,7.0,101.0,30.0,500.0,18.0,22.0,29.0,22.0,9.0,39.0,34.0,12.0,15.0,141.788051,179.475678,3764.297397,0.433333,0.433333,40807.813325,0.714286,1106.9612,0.006954,1880.8326330024001,0.0,0.0
M,0,30,15,2,2,9,medium,alns_pinn_full,direct,3,M30_P15_seed9_medium,not_milp,450,450,0.0,450,82.0,24.0,18.0,2.0,101.0,30.0,500.0,21.0,20.0,23.0,11.0,25.0,41.0,31.0,10.0,18.0,75.098752,297.68038,1634.887721,0.0,0.0,17695.850299,1.0,0,0.019222,1013.7877532655999,0.0,0.0
M,0,30,15,2,2,9,medium,alns_pinn_full,kmeans,3,M30_P15_seed9_medium_kmeans15,not_milp,450,90,0.8,56,76.0,13.0,24.0,4.0,101.0,30.0,500.0,24.0,28.0,14.0,15.0,19.0,31.0,35.0,10.0,24.0,65.036814,290.560362,1337.778671,0.0,0.0,15350.702678,0.857143,0,0.019353,826.7162583055999,0.0,0.0
M,0,30,15,2,2,9,medium,alns_pinn_full,dbscan,3,M30_P15_seed9_medium_dbscan3,not_milp,90,56,0.377778,13,76.0,16.0,24.0,11.0,101.0,30.0,500.0,30.0,19.0,16.0,19.0,16.0,42.0,30.0,15.0,13.0,134.882326,208.759698,3571.728041,0.366667,0.366667,29738.236476,0.714286,713.5744,0.006329,1873.9807791456,0.0,0.0
M,1,50,25,2,2,0,medium,alns_pinn_full,direct,3,M50_P25_seed0_medium,not_milp,1250,1250,0.0,1250,81.0,31.0,19.0,4.0,101.0,50.0,900.0,28.0,16.0,22.0,13.0,21.0,38.0,35.0,10.0,17.0,114.029078,617.983466,2601.619784,0.0,0.0,65413.876045,0.833333,0,0.049116,2721.9594844624,0.0,0.0
M,1,50,25,2,2,0,medium,alns_pinn_full,kmeans,3,M50_P25_seed0_medium_kmeans25,not_milp,1250,150,0.88,107,83.0,24.0,17.0,2.0,101.0,50.0,900.0,28.0,16.0,20.0,14.0,22.0,43.0,33.0,10.0,14.0,103.154642,625.900396,2210.077894,0.0,0.0,61048.528966,0.916667,0,0.050397,2457.2569511424003,0.0,0.0
M,1,50,25,2,2,0,medium,alns_pinn_full,dbscan,3,M50_P25_seed0_medium_dbscan3,not_milp,150,76,0.493333,13,76.0,14.0,24.0,5.0,101.0,50.0,900.0,22.0,18.0,14.0,18.0,28.0,35.0,34.0,12.0,19.0,315.31254,349.890841,8683.940785,0.6,0.6,150518.60053,0.75,2189.4075,0.010885,7317.366893022399,0.0,0.0
M,1,50,25,2,2,1,medium,alns_pinn_full,direct,3,M50_P25_seed1_medium,not_milp,1250,1250,0.0,1250,74.0,13.0,26.0,4.0,101.0,50.0,900.0,24.0,16.0,23.0,11.0,26.0,42.0,30.0,16.0,12.0,116.043513,659.786235,2581.842911,0.0,0.0,61111.455168,0.916667,0,0.050334,2570.7367260919996,0.0,0.0
M,1,50,25,2,2,1,medium,alns_pinn_full,kmeans,3,M50_P25_seed1_medium_kmeans25,not_milp,1250,150,0.88,100,77.0,16.0,23.0,5.0,101.0,50.0,900.0,24.0,19.0,22.0,13.0,22.0,43.0,30.0,14.0,13.0,104.326287,618.0457,2209.459151,0.0,0.0,54897.716817,0.916667,0,0.048677,2245.6932751719996,0.0,0.0
M,1,50,25,2,2,1,medium,alns_pinn_full,dbscan,3,M50_P25_seed1_medium_dbscan3,not_milp,150,74,0.506667,12,75.0,17.0,25.0,3.0,101.0,50.0,900.0,17.0,23.0,17.0,17.0,26.0,38.0,33.0,13.0,16.0,317.078561,359.894389,8986.317559,0.6,0.6,161855.312309,0.583333,2349.0558,0.010376,7393.495482492,0.0,0.0
