size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,scenario_id,milp_status,milp_reference_scope,milp_optimizes_rwct,milp_completion_time_scope,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,baseline_family,baseline_candidate_evaluations,baseline_generations,baseline_population_size,baseline_ant_count,baseline_best_order_score,alns_use_quantile,alns_risk_value_weight,alns_adaptive_enabled,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,repair_energy_minimum_insert_repair_uses,repair_synchronization_aware_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,sortie_count,avg_towers_per_sortie,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
M,0,30,15,2,2,6,medium,alns_pinn_full,dbscan,3,M30_P15_seed6_medium_dbscan3,not_milp,not_milp,False,not_milp,90,54,0.4,12,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,70.0,11.0,30.0,7.0,101.0,30.0,500.0,23.0,20.0,13.0,28.0,16.0,30.0,34.0,12.0,24.0,201.563953,107.453956,3707.545889,0.433333,0.433333,57.541985,0.714286,0.285714,30,1.0,1170.7365,0.02773,2643.9428368791996,0.0,0.0
M,0,30,15,2,2,7,medium,alns_pinn_full,direct,3,M30_P15_seed7_medium,not_milp,not_milp,False,not_milp,450,450,0.0,64,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,79.0,29.0,21.0,5.0,101.0,30.0,500.0,26.0,21.0,21.0,17.0,15.0,39.0,29.0,12.0,20.0,254.166705,278.729669,1486.618161,0.0,0.0,55.812723,1.0,1.0,29,1.034483,0,0.048867,3356.256989677518,0.0,0.0
M,0,30,15,2,2,7,medium,alns_pinn_full,kmeans,3,M30_P15_seed7_medium_kmeans15,not_milp,not_milp,False,not_milp,450,90,0.8,63,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,78.0,12.0,22.0,4.0,101.0,30.0,500.0,18.0,24.0,27.0,19.0,12.0,41.0,35.0,11.0,13.0,232.477626,273.731465,1260.061344,0.0,0.0,52.692347,1.0,1.0,30,1.0,0,0.041396,3136.0219630375173,0.0,0.0
M,0,30,15,2,2,7,medium,alns_pinn_full,dbscan,3,M30_P15_seed7_medium_dbscan3,not_milp,not_milp,False,not_milp,90,58,0.355556,14,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,75.0,10.0,25.0,8.0,101.0,30.0,500.0,26.0,17.0,26.0,19.0,12.0,42.0,30.0,12.0,16.0,234.84977,141.205653,3323.705652,0.3,0.3,52.495312,0.857143,0.714286,30,1.0,757.28,0.019601,2832.666952597517,0.0,0.0
M,0,30,15,2,2,8,medium,alns_pinn_full,direct,3,M30_P15_seed8_medium,not_milp,not_milp,False,not_milp,450,450,0.0,48,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,75.0,26.0,25.0,3.0,101.0,30.0,500.0,27.0,26.0,17.0,16.0,14.0,32.0,29.0,12.0,27.0,253.277305,300.102271,1614.479344,0.0,0.0,59.353294,1.0,1.0,30,1.0,0,0.052283,3441.61288244705,0.0,0.0
M,0,30,15,2,2,8,medium,alns_pinn_full,kmeans,3,M30_P15_seed8_medium_kmeans15,not_milp,not_milp,False,not_milp,450,90,0.8,49,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,79.0,27.0,21.0,2.0,101.0,30.0,500.0,13.0,26.0,16.0,26.0,19.0,33.0,32.0,16.0,19.0,235.325188,303.280031,1383.477172,0.0,0.0,57.433505,1.0,1.0,30,1.0,0,0.049123,3255.6316220870494,0.0,0.0
M,0,30,15,2,2,8,medium,alns_pinn_full,dbscan,3,M30_P15_seed8_medium_dbscan3,not_milp,not_milp,False,not_milp,90,54,0.4,12,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,76.0,15.0,24.0,14.0,101.0,30.0,500.0,30.0,15.0,17.0,19.0,19.0,27.0,46.0,13.0,14.0,261.466671,171.000647,3706.440481,0.464286,0.464286,71.011952,0.714286,0.428571,28,1.071429,1106.9612,0.019109,3393.33053300705,0.0,0.0
M,0,30,15,2,2,9,medium,alns_pinn_full,direct,3,M30_P15_seed9_medium,not_milp,not_milp,False,not_milp,450,450,0.0,55,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,80.0,21.0,20.0,2.0,101.0,30.0,500.0,23.0,21.0,26.0,17.0,13.0,36.0,34.0,12.0,18.0,244.555391,279.392396,1580.880915,0.0,0.0,43.392576,1.0,1.0,28,1.071429,0,0.059363,3362.680332610503,0.0,0.0
M,0,30,15,2,2,9,medium,alns_pinn_full,kmeans,3,M30_P15_seed9_medium_kmeans15,not_milp,not_milp,False,not_milp,450,90,0.8,56,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,81.0,23.0,19.0,3.0,101.0,30.0,500.0,24.0,25.0,23.0,15.0,13.0,43.0,26.0,10.0,21.0,197.158924,236.207767,1317.459793,0.0,0.0,37.760777,1.0,1.0,29,1.034483,0,0.047713,2710.7638620105035,0.0,0.0
M,0,30,15,2,2,9,medium,alns_pinn_full,dbscan,3,M30_P15_seed9_medium_dbscan3,not_milp,not_milp,False,not_milp,90,56,0.377778,13,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,79.0,15.0,21.0,13.0,101.0,30.0,500.0,24.0,21.0,22.0,15.0,18.0,41.0,32.0,10.0,17.0,227.99104,123.764512,3571.728041,0.366667,0.366667,41.708197,0.857143,0.714286,30,1.0,713.5744,0.020398,2845.7117395705027,0.0,0.0
