source,level_1,method,candidate_mode,size,tower_count,stop_count,uncertainty,n,makespan_mean,makespan_sd,total_vehicle_distance_mean,total_vehicle_distance_sd,expected_energy_mean,expected_energy_sd,energy_violation_rate_mean,energy_violation_rate_sd,infeasible_sortie_rate_mean,infeasible_sortie_rate_sd,risk_weighted_completion_time_mean,risk_weighted_completion_time_sd,top_risk_coverage_mean,top_risk_coverage_sd,feasible_top_risk_coverage_mean,feasible_top_risk_coverage_sd,sortie_count_mean,sortie_count_sd,avg_towers_per_sortie_mean,avg_towers_per_sortie_sd,missed_value_mean,missed_value_sd,solver_runtime_mean,solver_runtime_sd,objective_value_mean,objective_value_sd,milp_gap_mean,milp_gap_sd,milp_optimizes_rwct_mean,milp_optimizes_rwct_sd,optimality_gap_pct_mean,optimality_gap_pct_sd,total_candidate_pairs_mean,total_candidate_pairs_sd,screened_pair_count_mean,screened_pair_count_sd,candidate_pair_reduction_mean,candidate_pair_reduction_sd,feasible_candidate_pairs_mean,feasible_candidate_pairs_sd,alns_accepted_moves_mean,alns_accepted_moves_sd,alns_improving_moves_mean,alns_improving_moves_sd,alns_rejected_moves_mean,alns_rejected_moves_sd,alns_best_updates_mean,alns_best_updates_sd,alns_objective_evaluations_mean,alns_objective_evaluations_sd,alns_score_cache_size_mean,alns_score_cache_size_sd,alns_repair_position_evaluations_mean,alns_repair_position_evaluations_sd,alns_portfolio_candidate_count_mean,alns_portfolio_candidate_count_sd,alns_selected_portfolio_infeasible_count_mean,alns_selected_portfolio_infeasible_count_sd,alns_selected_portfolio_rwct_mean,alns_selected_portfolio_rwct_sd,alns_selected_portfolio_makespan_mean,alns_selected_portfolio_makespan_sd,destroy_random_removal_uses_mean,destroy_random_removal_uses_sd,destroy_worst_energy_removal_uses_mean,destroy_worst_energy_removal_uses_sd,destroy_shaw_related_removal_uses_mean,destroy_shaw_related_removal_uses_sd,destroy_path_segment_removal_uses_mean,destroy_path_segment_removal_uses_sd,destroy_uav_chain_removal_uses_mean,destroy_uav_chain_removal_uses_sd,repair_greedy_insert_repair_uses_mean,repair_greedy_insert_repair_uses_sd,repair_regret_insert_repair_uses_mean,repair_regret_insert_repair_uses_sd,repair_energy_minimum_insert_repair_uses_mean,repair_energy_minimum_insert_repair_uses_sd,repair_synchronization_aware_insert_repair_uses_mean,repair_synchronization_aware_insert_repair_uses_sd,baseline_candidate_evaluations_mean,baseline_candidate_evaluations_sd,baseline_generations_mean,baseline_generations_sd,baseline_population_size_mean,baseline_population_size_sd,baseline_ant_count_mean,baseline_ant_count_sd,baseline_best_order_score_mean,baseline_best_order_score_sd,alns_risk_value_weight_mean,alns_risk_value_weight_sd,alns_adaptive_enabled_mean,alns_adaptive_enabled_sd,baseline_method,proposed_method,metric,baseline_mean,proposed_mean,effect_abs,effect_pct,median_effect_abs,median_effect_pct,paired_diff_ci95_low,paired_diff_ci95_high,improvement_count,worsening_count,tie_count,rank_biserial_effect,p_value,lower_is_better,p_holm
P7,94,,,,100,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alns_pinn,alns_pinn_full,infeasible_sortie_rate,0.002,0.0,0.002,100.0,0.0,0.0,0.0,0.005,2.0,0.0,8.0,1.0,0.15729921,True,0.94379526
P7,95,,,,100,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alns_pinn_uq,alns_pinn_full,infeasible_sortie_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,True,1.0
P7,96,,,,150,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,greedy_nearest,alns_pinn_full,makespan,943.228608,1217.494651,-274.266043,-29.077367,-301.5148,-31.966248,-335.237875,-188.534107,0.0,10.0,0.0,-1.0,0.00195312,True,0.01171872
P7,97,,,,150,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ga,alns_pinn_full,makespan,1247.302768,1217.494651,29.808118,2.389806,26.804858,2.149026,1.274245,45.019931,8.0,2.0,0.0,0.672727,0.06445312,True,0.25781248
P7,98,,,,150,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aco,alns_pinn_full,makespan,1239.303195,1217.494651,21.808544,1.759742,29.487071,2.379327,-10.913246,58.363437,7.0,3.0,0.0,0.527273,0.16015625,True,0.3203125
P7,99,,,,150,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alns_fixed,alns_pinn_full,makespan,1216.519242,1217.494651,-0.975408,-0.08018,-2.303628,-0.189362,-53.267847,60.346209,5.0,5.0,0.0,0.018182,1.0,True,1.0
P7,100,,,,150,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alns_pinn,alns_pinn_full,makespan,1253.107103,1217.494651,35.612452,2.841932,23.853601,1.903556,1.136132,67.719323,8.0,2.0,0.0,0.709091,0.04882812,True,0.2441406
P7,101,,,,150,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alns_pinn_uq,alns_pinn_full,makespan,1239.37028,1217.494651,21.87563,1.76506,0.0,0.0,0.0,45.827502,4.0,1.0,5.0,0.866667,0.0796158,True,0.25781248
P7,102,,,,150,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,greedy_nearest,alns_pinn_full,risk_weighted_completion_time,428.720167,334.118847,94.60132,22.065983,82.777792,19.308117,56.634957,139.316006,10.0,0.0,0.0,1.0,0.00195312,True,0.01171872
P7,103,,,,150,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ga,alns_pinn_full,risk_weighted_completion_time,340.886736,334.118847,6.767889,1.985378,5.035511,1.47718,1.485134,13.815312,8.0,2.0,0.0,0.709091,0.04882812,True,0.0862289
P7,104,,,,150,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aco,alns_pinn_full,risk_weighted_completion_time,341.898611,334.118847,7.779765,2.27546,4.378339,1.280596,0.781504,16.565049,9.0,1.0,0.0,0.781818,0.02734375,True,0.08203125
P7,105,,,,150,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alns_fixed,alns_pinn_full,risk_weighted_completion_time,588.105888,334.118847,253.987042,43.187298,262.161449,44.577253,222.267068,297.2043,10.0,0.0,0.0,1.0,0.00195312,True,0.01171872
P7,106,,,,150,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alns_pinn,alns_pinn_full,risk_weighted_completion_time,349.12562,334.118847,15.006774,4.298388,11.902805,3.409319,4.393345,27.175184,10.0,0.0,0.0,1.0,0.00195312,True,0.01171872
P7,107,,,,150,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alns_pinn_uq,alns_pinn_full,risk_weighted_completion_time,341.482466,334.118847,7.36362,2.156368,3.209801,0.939961,0.0,14.597607,5.0,0.0,5.0,1.0,0.04311445,True,0.0862289
P7,108,,,,150,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,greedy_nearest,alns_pinn_full,top_risk_coverage,0.235135,0.97027,0.735135,312.644103,0.743243,316.092379,0.689189,0.77027,10.0,0.0,0.0,1.0,0.00195312,False,0.01171872
P7,109,,,,150,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ga,alns_pinn_full,top_risk_coverage,0.97027,0.97027,0.0,0.0,0.0,0.0,-0.027027,0.027027,3.0,3.0,4.0,0.0,1.0,False,1.0
P7,110,,,,150,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aco,alns_pinn_full,top_risk_coverage,0.972973,0.97027,-0.002703,-0.277777,0.0,0.0,-0.027027,0.013514,2.0,4.0,4.0,-0.142857,0.73888268,False,1.0
P7,111,,,,150,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alns_fixed,alns_pinn_full,top_risk_coverage,0.24054,0.97027,0.72973,303.371202,0.743243,308.98918,0.662162,0.783784,10.0,0.0,0.0,1.0,0.00195312,False,0.01171872
P7,112,,,,150,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alns_pinn,alns_pinn_full,top_risk_coverage,0.978378,0.97027,-0.008108,-0.828728,-0.013514,-1.381214,-0.027027,0.013514,2.0,5.0,3.0,-0.428571,0.25683926,False,0.77051778
