size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,scenario_id,milp_status,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,baseline_family,baseline_candidate_evaluations,baseline_generations,baseline_population_size,baseline_ant_count,baseline_best_order_score,alns_use_quantile,alns_risk_value_weight,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,repair_energy_minimum_insert_repair_uses,repair_synchronization_aware_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
M,1,50,25,2,2,2,high,no_risk_value,kmeans,3,M50_P25_seed2_high_kmeans25,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.115259,580.671694,2362.103865,0.0,0.0,39837.832979,0.75,0,0.019454,2405.821688729599,0.0,0.0
M,1,50,25,2,2,2,high,no_energy_repair,kmeans,3,M50_P25_seed2_high_kmeans25,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,True,0.25,83.0,12.0,17.0,6.0,101.0,50.0,900.0,18.0,22.0,24.0,18.0,18.0,32.0,49.0,0.0,19.0,109.183729,642.560367,2362.103865,0.0,0.0,39139.690643,0.916667,0,0.077163,2346.8271987296,0.0,0.0
M,1,50,25,2,2,2,high,no_sync_repair,kmeans,3,M50_P25_seed2_high_kmeans25,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,True,0.25,86.0,10.0,14.0,2.0,101.0,50.0,900.0,22.0,16.0,30.0,16.0,16.0,35.0,50.0,15.0,0.0,109.183729,642.560367,2362.103865,0.0,0.0,39139.690643,0.916667,0,0.079161,2346.8271987296,0.0,0.0
M,1,50,25,2,2,2,high,no_clustering,direct,3,M50_P25_seed2_high,not_milp,1250,1250,0.0,1250,,0.0,0.0,0.0,0.0,0.0,True,0.25,77.0,23.0,23.0,7.0,101.0,50.0,900.0,20.0,22.0,26.0,12.0,20.0,35.0,35.0,12.0,18.0,120.809793,698.229428,2689.028868,0.0,0.0,43418.84891,0.833333,0,0.073419,2685.8072384096,0.0,0.0
M,1,50,25,2,2,3,high,alns_pinn_full,kmeans,3,M50_P25_seed3_high_kmeans25,not_milp,1250,150,0.88,94,,0.0,0.0,0.0,0.0,0.0,True,0.25,80.0,25.0,20.0,1.0,101.0,50.0,900.0,18.0,15.0,22.0,31.0,14.0,30.0,46.0,11.0,13.0,102.693032,735.270145,2141.216734,0.0,0.0,53361.733709,0.916667,0,0.088004,2374.0304468680006,0.0,0.0
M,1,50,25,2,2,3,high,no_pinn,kmeans,3,M50_P25_seed3_high_kmeans25,not_milp,1250,150,0.88,94,,0.0,0.0,0.0,0.0,0.0,False,0.0,91.0,17.0,9.0,15.0,101.0,50.0,900.0,24.0,19.0,16.0,22.0,19.0,31.0,32.0,26.0,11.0,105.221615,612.732122,2141.216734,0.0,0.0,71053.681576,0.5,0,0.063615,2000.6419228680002,0.0,0.0
M,1,50,25,2,2,3,high,no_adaptive,kmeans,3,M50_P25_seed3_high_kmeans25,not_milp,1250,150,0.88,94,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.104614,662.069227,2141.216734,0.0,0.0,53954.95806,0.833333,0,0.016311,2379.1567628680004,0.0,0.0
M,1,50,25,2,2,3,high,no_uq,kmeans,3,M50_P25_seed3_high_kmeans25,not_milp,1250,150,0.88,94,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.92733,652.828149,2141.216734,0.0,0.0,53605.078481,0.916667,0,0.022276,2388.478216868,0.0,0.0
M,1,50,25,2,2,3,high,no_risk_value,kmeans,3,M50_P25_seed3_high_kmeans25,not_milp,1250,150,0.88,94,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.21002,676.792255,2141.216734,0.0,0.0,53958.398617,0.833333,0,0.021865,2379.1567628680004,0.0,0.0
M,1,50,25,2,2,3,high,no_energy_repair,kmeans,3,M50_P25_seed3_high_kmeans25,not_milp,1250,150,0.88,94,,0.0,0.0,0.0,0.0,0.0,True,0.25,92.0,19.0,8.0,6.0,101.0,50.0,900.0,16.0,16.0,26.0,20.0,22.0,46.0,42.0,0.0,12.0,102.693032,735.270145,2141.216734,0.0,0.0,53361.733709,0.916667,0,0.09596,2374.0304468680006,0.0,0.0
M,1,50,25,2,2,3,high,no_sync_repair,kmeans,3,M50_P25_seed3_high_kmeans25,not_milp,1250,150,0.88,94,,0.0,0.0,0.0,0.0,0.0,True,0.25,84.0,19.0,16.0,6.0,101.0,50.0,900.0,19.0,21.0,17.0,18.0,25.0,43.0,42.0,15.0,0.0,102.693032,735.270145,2141.216734,0.0,0.0,53361.733709,0.916667,0,0.089129,2374.0304468680006,0.0,0.0
M,1,50,25,2,2,3,high,no_clustering,direct,3,M50_P25_seed3_high,not_milp,1250,1250,0.0,1250,,0.0,0.0,0.0,0.0,0.0,True,0.25,79.0,17.0,21.0,7.0,101.0,50.0,900.0,19.0,15.0,22.0,20.0,24.0,27.0,47.0,9.0,17.0,117.729448,617.025591,2602.116088,0.0,0.0,62232.613629,0.916667,0,0.102103,2805.7862943079995,0.0,0.0
M,1,50,25,2,2,4,high,alns_pinn_full,kmeans,3,M50_P25_seed4_high_kmeans25,not_milp,1250,148,0.8816,78,,0.0,0.0,0.0,0.0,0.0,True,0.25,73.0,7.0,27.0,6.0,101.0,50.0,900.0,30.0,22.0,7.0,17.0,24.0,42.0,29.0,14.0,15.0,109.645474,587.256225,2302.363068,0.0,0.0,46636.311797,0.916667,0,0.09515,2180.2825015368,0.0,0.0
M,1,50,25,2,2,4,high,no_pinn,kmeans,3,M50_P25_seed4_high_kmeans25,not_milp,1250,148,0.8816,78,,0.0,0.0,0.0,0.0,0.0,False,0.0,88.0,18.0,12.0,15.0,101.0,50.0,900.0,27.0,14.0,14.0,27.0,18.0,35.0,31.0,20.0,14.0,107.659312,620.298431,2300.154328,0.02,0.02,65620.901127,0.333333,0,0.071174,1940.1202124967997,0.0,0.0
M,1,50,25,2,2,4,high,no_adaptive,kmeans,3,M50_P25_seed4_high_kmeans25,not_milp,1250,148,0.8816,78,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.968334,583.269528,2300.154328,0.02,0.02,46514.729037,0.916667,0,0.021967,2215.1872814968,0.0,0.0
M,1,50,25,2,2,4,high,no_uq,kmeans,3,M50_P25_seed4_high_kmeans25,not_milp,1250,148,0.8816,78,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.379919,526.947836,2300.154328,0.02,0.02,46427.579169,0.916667,0,0.022194,2225.5603764968,0.0,0.0
M,1,50,25,2,2,4,high,no_risk_value,kmeans,3,M50_P25_seed4_high_kmeans25,not_milp,1250,148,0.8816,78,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.975792,615.116524,2302.363068,0.0,0.0,46566.727639,0.916667,0,0.023038,2219.0591975368,0.0,0.0
M,1,50,25,2,2,4,high,no_energy_repair,kmeans,3,M50_P25_seed4_high_kmeans25,not_milp,1250,148,0.8816,78,,0.0,0.0,0.0,0.0,0.0,True,0.25,86.0,7.0,14.0,5.0,101.0,50.0,900.0,19.0,20.0,17.0,26.0,18.0,44.0,38.0,0.0,18.0,109.645474,587.256225,2302.363068,0.0,0.0,46636.311797,0.916667,0,0.103277,2180.2825015368,0.0,0.0
M,1,50,25,2,2,4,high,no_sync_repair,kmeans,3,M50_P25_seed4_high_kmeans25,not_milp,1250,148,0.8816,78,,0.0,0.0,0.0,0.0,0.0,True,0.25,85.0,13.0,15.0,3.0,101.0,50.0,900.0,22.0,14.0,21.0,25.0,18.0,54.0,29.0,17.0,0.0,109.645474,587.256225,2302.363068,0.0,0.0,46636.311797,0.916667,0,0.102427,2180.2825015368,0.0,0.0
M,1,50,25,2,2,4,high,no_clustering,direct,3,M50_P25_seed4_high,not_milp,1250,1250,0.0,1250,,0.0,0.0,0.0,0.0,0.0,True,0.25,78.0,15.0,22.0,6.0,101.0,50.0,900.0,28.0,17.0,13.0,17.0,25.0,37.0,39.0,10.0,14.0,122.488609,585.963416,2738.288517,0.0,0.0,54700.097399,1.0,0,0.102394,2612.6377951368004,0.0,0.0
M,1,50,25,2,2,5,high,alns_pinn_full,kmeans,3,M50_P25_seed5_high_kmeans25,not_milp,1250,150,0.88,80,,0.0,0.0,0.0,0.0,0.0,True,0.25,79.0,27.0,21.0,5.0,101.0,50.0,900.0,14.0,22.0,23.0,13.0,28.0,41.0,32.0,12.0,15.0,105.531888,591.515714,2196.675411,0.0,0.0,56173.018581,0.833333,0,0.103318,2303.7928918616008,0.0,0.0
M,1,50,25,2,2,5,high,no_pinn,kmeans,3,M50_P25_seed5_high_kmeans25,not_milp,1250,150,0.88,80,,0.0,0.0,0.0,0.0,0.0,False,0.0,91.0,23.0,9.0,14.0,101.0,50.0,900.0,18.0,13.0,21.0,16.0,32.0,28.0,18.0,41.0,13.0,104.44816,596.848498,2196.675411,0.0,0.0,74219.631327,0.333333,0,0.076486,1948.1082408616,0.0,0.0
M,1,50,25,2,2,5,high,no_adaptive,kmeans,3,M50_P25_seed5_high_kmeans25,not_milp,1250,150,0.88,80,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.348963,590.388913,2196.675411,0.0,0.0,56724.228982,0.666667,0,0.025161,2311.5232748615995,0.0,0.0
M,1,50,25,2,2,5,high,no_uq,kmeans,3,M50_P25_seed5_high_kmeans25,not_milp,1250,150,0.88,80,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.244533,534.76068,2196.675411,0.0,0.0,56710.329069,0.916667,0,0.021789,2325.8145288615997,0.0,0.0
M,1,50,25,2,2,5,high,no_risk_value,kmeans,3,M50_P25_seed5_high_kmeans25,not_milp,1250,150,0.88,80,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.318821,581.697046,2196.675411,0.0,0.0,56724.339105,0.666667,0,0.021711,2311.4446888616,0.0,0.0
M,1,50,25,2,2,5,high,no_energy_repair,kmeans,3,M50_P25_seed5_high_kmeans25,not_milp,1250,150,0.88,80,,0.0,0.0,0.0,0.0,0.0,True,0.25,88.0,6.0,12.0,6.0,101.0,50.0,900.0,17.0,17.0,19.0,19.0,28.0,47.0,41.0,0.0,12.0,105.531888,591.515714,2196.675411,0.0,0.0,56173.018581,0.833333,0,0.095611,2303.7928918616008,0.0,0.0
M,1,50,25,2,2,5,high,no_sync_repair,kmeans,3,M50_P25_seed5_high_kmeans25,not_milp,1250,150,0.88,80,,0.0,0.0,0.0,0.0,0.0,True,0.25,88.0,8.0,12.0,6.0,101.0,50.0,900.0,20.0,17.0,19.0,18.0,26.0,46.0,41.0,13.0,0.0,105.531888,591.515714,2196.675411,0.0,0.0,56173.018581,0.833333,0,0.085782,2303.7928918616008,0.0,0.0
M,1,50,25,2,2,5,high,no_clustering,direct,3,M50_P25_seed5_high,not_milp,1250,1250,0.0,1250,,0.0,0.0,0.0,0.0,0.0,True,0.25,77.0,23.0,23.0,3.0,101.0,50.0,900.0,15.0,19.0,15.0,20.0,31.0,38.0,40.0,10.0,12.0,117.645616,619.086857,2488.034442,0.0,0.0,61699.421695,0.833333,0,0.092823,2548.1582387816,0.0,0.0
M,1,50,25,2,2,6,high,alns_pinn_full,kmeans,3,M50_P25_seed6_high_kmeans25,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,True,0.25,78.0,22.0,22.0,8.0,101.0,50.0,900.0,15.0,24.0,25.0,14.0,22.0,37.0,33.0,9.0,21.0,110.788612,593.816778,2425.320977,0.0,0.0,41005.879131,0.833333,0,0.091767,2543.41941072,0.0,0.0
M,1,50,25,2,2,6,high,no_pinn,kmeans,3,M50_P25_seed6_high_kmeans25,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,False,0.0,89.0,18.0,11.0,14.0,101.0,50.0,900.0,22.0,13.0,28.0,24.0,13.0,24.0,25.0,37.0,14.0,110.313032,651.647874,2425.235182,0.06,0.06,58657.880357,0.166667,0,0.072431,2187.6038731600006,0.0,0.0
M,1,50,25,2,2,6,high,no_adaptive,kmeans,3,M50_P25_seed6_high_kmeans25,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.742468,577.264427,2421.71746,0.04,0.04,41355.767151,0.833333,0,0.021778,2606.84884316,0.0,0.0
M,1,50,25,2,2,6,high,no_uq,kmeans,3,M50_P25_seed6_high_kmeans25,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.591742,631.097458,2421.71746,0.04,0.04,41222.129954,0.833333,0,0.024233,2618.0864221599995,0.0,0.0
M,1,50,25,2,2,6,high,no_risk_value,kmeans,3,M50_P25_seed6_high_kmeans25,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.710451,666.845941,2425.320977,0.0,0.0,41547.804115,0.833333,0,0.027146,2628.1186657199996,0.0,0.0
M,1,50,25,2,2,6,high,no_energy_repair,kmeans,3,M50_P25_seed6_high_kmeans25,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,True,0.25,86.0,19.0,14.0,6.0,101.0,50.0,900.0,19.0,19.0,25.0,16.0,21.0,49.0,32.0,0.0,19.0,110.788612,593.816778,2425.320977,0.0,0.0,41005.879131,0.833333,0,0.096147,2543.41941072,0.0,0.0
M,1,50,25,2,2,6,high,no_sync_repair,kmeans,3,M50_P25_seed6_high_kmeans25,not_milp,1250,146,0.8832,70,,0.0,0.0,0.0,0.0,0.0,True,0.25,86.0,18.0,14.0,6.0,101.0,50.0,900.0,17.0,15.0,30.0,13.0,25.0,47.0,36.0,17.0,0.0,110.788612,593.816778,2425.320977,0.0,0.0,41005.879131,0.833333,0,0.099682,2543.41941072,0.0,0.0
M,1,50,25,2,2,6,high,no_clustering,direct,3,M50_P25_seed6_high,not_milp,1250,1250,0.0,1250,,0.0,0.0,0.0,0.0,0.0,True,0.25,76.0,17.0,24.0,7.0,101.0,50.0,900.0,11.0,26.0,26.0,17.0,20.0,26.0,42.0,11.0,21.0,121.100221,606.626989,2773.776694,0.0,0.0,45149.447224,0.916667,0,0.102451,2842.00141288,0.0,0.0
M,1,50,25,2,2,7,high,alns_pinn_full,kmeans,3,M50_P25_seed7_high_kmeans25,not_milp,1250,150,0.88,76,,0.0,0.0,0.0,0.0,0.0,True,0.25,76.0,26.0,24.0,8.0,101.0,50.0,900.0,31.0,23.0,16.0,16.0,14.0,44.0,28.0,12.0,16.0,105.807511,600.832074,2264.168842,0.0,0.0,63637.523554,0.916667,0,0.096737,2306.5486712136,0.0,0.0
