size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,scenario_id,milp_status,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
M,1,50,25,2,2,1,high,no_risk_value,kmeans,3,M50_P25_seed1_high_kmeans25,not_milp,1250,148,0.8816,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.59149,680.540887,2211.340411,0.0,0.0,55524.943484,0.833333,0,0.015971,2276.7467480519995,0.0,0.0
M,1,50,25,2,2,1,high,no_clustering,direct,3,M50_P25_seed1_high,not_milp,1250,1250,0.0,1250,100.0,5.0,0.0,5.0,101.0,50.0,900.0,16.0,21.0,21.0,19.0,23.0,51.0,49.0,117.114344,687.184462,2583.631641,0.0,0.0,61053.166253,0.916667,0,0.029966,2593.994906812,0.0,0.0
M,1,50,25,2,2,2,high,alns_pinn_full,kmeans,3,M50_P25_seed2_high_kmeans25,not_milp,1250,146,0.8832,70,100.0,5.0,0.0,4.0,101.0,50.0,900.0,21.0,18.0,20.0,15.0,26.0,44.0,56.0,109.183729,642.560367,2362.103865,0.0,0.0,39139.690643,0.916667,0,0.030813,2346.8271987296,0.0,0.0
M,1,50,25,2,2,2,high,no_pinn,kmeans,3,M50_P25_seed2_high_kmeans25,not_milp,1250,146,0.8832,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.867196,543.021738,2360.598864,0.04,0.04,60875.176434,0.333333,0,0.001744,2248.5212287296004,0.0,0.0
M,1,50,25,2,2,2,high,no_adaptive,kmeans,3,M50_P25_seed2_high_kmeans25,not_milp,1250,146,0.8832,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.062051,615.636033,2358.30694,0.04,0.04,39750.738966,0.666667,0,0.015161,2397.1068464096,0.0,0.0
M,1,50,25,2,2,2,high,no_uq,kmeans,3,M50_P25_seed2_high_kmeans25,not_milp,1250,146,0.8832,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.758349,628.174958,2358.30694,0.04,0.04,39328.709036,0.916667,0,0.013157,2398.2488004096003,0.0,0.0
M,1,50,25,2,2,2,high,no_risk_value,kmeans,3,M50_P25_seed2_high_kmeans25,not_milp,1250,146,0.8832,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.115259,580.671694,2362.103865,0.0,0.0,39837.832979,0.75,0,0.013904,2405.821688729599,0.0,0.0
M,1,50,25,2,2,2,high,no_clustering,direct,3,M50_P25_seed2_high,not_milp,1250,1250,0.0,1250,100.0,11.0,0.0,11.0,101.0,50.0,900.0,22.0,20.0,21.0,20.0,17.0,46.0,54.0,120.809793,698.229428,2689.028868,0.0,0.0,43418.84891,0.833333,0,0.032419,2685.8072384096,0.0,0.0
M,1,50,25,2,2,3,high,alns_pinn_full,kmeans,3,M50_P25_seed3_high_kmeans25,not_milp,1250,150,0.88,94,100.0,7.0,0.0,7.0,101.0,50.0,900.0,20.0,23.0,23.0,18.0,16.0,48.0,52.0,102.693032,735.270145,2141.216734,0.0,0.0,53361.733709,0.916667,0,0.028538,2374.0304468680006,0.0,0.0
M,1,50,25,2,2,3,high,no_pinn,kmeans,3,M50_P25_seed3_high_kmeans25,not_milp,1250,150,0.88,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.953905,542.661522,2141.216734,0.0,0.0,71528.138914,0.416667,0,0.001719,2050.8039318680003,0.0,0.0
M,1,50,25,2,2,3,high,no_adaptive,kmeans,3,M50_P25_seed3_high_kmeans25,not_milp,1250,150,0.88,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.104614,662.069227,2141.216734,0.0,0.0,53954.95806,0.833333,0,0.012904,2379.1567628680004,0.0,0.0
