size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,scenario_id,milp_status,milp_reference_scope,milp_optimizes_rwct,milp_completion_time_scope,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,baseline_family,baseline_candidate_evaluations,baseline_generations,baseline_population_size,baseline_ant_count,baseline_best_order_score,alns_use_quantile,alns_risk_value_weight,alns_adaptive_enabled,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,repair_energy_minimum_insert_repair_uses,repair_synchronization_aware_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,sortie_count,avg_towers_per_sortie,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
M,1,50,25,2,2,2,high,no_clustering,direct,3,M50_P25_seed2_high,not_milp,not_milp,False,not_milp,1250,1250,0.0,67,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,78.0,18.0,22.0,7.0,101.0,50.0,900.0,20.0,19.0,27.0,15.0,19.0,32.0,42.0,10.0,16.0,497.337815,655.564818,2668.61218,0.0,0.0,124.850901,0.916667,0.916667,49,1.020408,0,0.124688,11774.197720341781,0.0,0.0
M,1,50,25,2,2,3,high,alns_pinn_full,kmeans,3,M50_P25_seed3_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,94,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,75.0,16.0,25.0,1.0,101.0,50.0,900.0,18.0,19.0,22.0,24.0,17.0,41.0,32.0,12.0,15.0,433.712596,580.186658,2141.216734,0.0,0.0,121.881176,0.916667,0.916667,50,1.0,0,0.114663,10837.025091910053,0.0,0.0
M,1,50,25,2,2,3,high,no_pinn,kmeans,3,M50_P25_seed3_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,94,,0.0,0.0,0.0,0.0,0.0,False,0.0,True,90.0,37.0,10.0,14.0,101.0,50.0,900.0,22.0,25.0,23.0,18.0,12.0,27.0,27.0,27.0,19.0,396.207338,517.875993,2141.216734,0.0,0.0,176.461516,0.416667,0.416667,50,1.0,0,0.118222,9433.121107910056,0.0,0.0
M,1,50,25,2,2,3,high,no_adaptive,kmeans,3,M50_P25_seed3_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,94,,0.0,0.0,0.0,0.0,0.0,True,0.25,False,52.0,24.0,48.0,0.0,101.0,50.0,900.0,21.0,18.0,22.0,18.0,21.0,18.0,24.0,23.0,35.0,456.593028,637.638374,2141.216734,0.0,0.0,116.360323,1.0,1.0,50,1.0,0,0.132036,10640.593300910054,0.0,0.0
M,1,50,25,2,2,3,high,no_uq,kmeans,3,M50_P25_seed3_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,94,,0.0,0.0,0.0,0.0,0.0,False,0.25,True,71.0,17.0,29.0,1.0,101.0,50.0,900.0,15.0,18.0,24.0,23.0,20.0,40.0,28.0,19.0,13.0,433.045625,587.100964,2141.216734,0.0,0.0,118.299069,0.916667,0.916667,50,1.0,0,0.09663,10492.241421910054,0.0,0.0
M,1,50,25,2,2,3,high,no_risk_value,kmeans,3,M50_P25_seed3_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,94,,0.0,0.0,0.0,0.0,0.0,True,0.0,True,92.0,24.0,8.0,15.0,101.0,50.0,900.0,29.0,17.0,20.0,15.0,19.0,31.0,27.0,29.0,13.0,413.112114,535.96266,2141.216734,0.0,0.0,178.314426,0.416667,0.416667,50,1.0,0,0.091973,9518.316322910056,0.0,0.0
M,1,50,25,2,2,3,high,no_energy_repair,kmeans,3,M50_P25_seed3_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,94,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,88.0,22.0,12.0,6.0,101.0,50.0,900.0,16.0,16.0,25.0,21.0,22.0,42.0,43.0,0.0,15.0,433.712596,580.186658,2141.216734,0.0,0.0,121.881176,0.916667,0.916667,50,1.0,0,0.089672,10837.025091910053,0.0,0.0
M,1,50,25,2,2,3,high,no_sync_repair,kmeans,3,M50_P25_seed3_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,94,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,88.0,12.0,12.0,6.0,101.0,50.0,900.0,21.0,20.0,18.0,23.0,18.0,38.0,49.0,13.0,0.0,433.712596,580.186658,2141.216734,0.0,0.0,121.881176,0.916667,0.916667,50,1.0,0,0.107872,10837.025091910053,0.0,0.0
M,1,50,25,2,2,3,high,no_clustering,direct,3,M50_P25_seed3_high,not_milp,not_milp,False,not_milp,1250,1250,0.0,91,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,75.0,15.0,25.0,11.0,101.0,50.0,900.0,20.0,24.0,17.0,18.0,21.0,25.0,44.0,13.0,18.0,507.7667,638.599782,2584.551133,0.0,0.0,141.908589,0.916667,0.916667,49,1.020408,0,0.122196,12523.080864670055,0.0,0.0
M,1,50,25,2,2,4,high,alns_pinn_full,kmeans,3,M50_P25_seed4_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,78,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,74.0,22.0,26.0,9.0,101.0,50.0,900.0,27.0,23.0,11.0,17.0,22.0,31.0,37.0,10.0,22.0,435.065714,559.55118,2302.363068,0.0,0.0,99.326384,1.0,1.0,50,1.0,0,0.136072,9566.108966008744,0.0,0.0
M,1,50,25,2,2,4,high,no_pinn,kmeans,3,M50_P25_seed4_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,78,,0.0,0.0,0.0,0.0,0.0,False,0.0,True,89.0,21.0,11.0,18.0,101.0,50.0,900.0,30.0,20.0,12.0,23.0,15.0,32.0,28.0,25.0,15.0,408.920654,563.401464,2300.154328,0.02,0.02,169.887573,0.333333,0.333333,50,1.0,0,0.097719,9644.576805968745,0.0,0.0
M,1,50,25,2,2,4,high,no_adaptive,kmeans,3,M50_P25_seed4_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,78,,0.0,0.0,0.0,0.0,0.0,True,0.25,False,63.0,32.0,37.0,9.0,101.0,50.0,900.0,15.0,20.0,18.0,20.0,27.0,31.0,24.0,17.0,28.0,425.445595,539.8473,2302.363068,0.0,0.0,99.226173,1.0,1.0,50,1.0,0,0.095762,9544.915613008743,0.0,0.0
