size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,sensitivity_factor,sensitivity_level,quantile_z,scenario_id,milp_status,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,repair_energy_minimum_insert_repair_uses,repair_synchronization_aware_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct,reserve_ratio,iteration_budget,uav_count_override
M,1,50,25,2,2,1,high,alns_pinn_full,kmeans,3,iteration_budget,160,,M50_P25_seed1_high_kmeans25,not_milp,1250,148,0.8816,81,128.0,23.0,32.0,4.0,161.0,50.0,1440.0,35.0,26.0,37.0,24.0,38.0,64.0,58.0,16.0,22.0,105.960169,656.727944,2211.340411,0.0,0.0,55073.896115,0.916667,0,0.06014,2245.081591052,0.0,0.0,,160,
M,1,50,25,2,2,1,high,alns_pinn_full,kmeans,3,uav_count,2,,M50_P25_seed1_high_uav_count2_kmeans25,not_milp,1250,148,0.8816,81,73.0,21.0,27.0,4.0,101.0,50.0,900.0,24.0,16.0,21.0,12.0,27.0,40.0,28.0,15.0,17.0,198.803714,631.804411,2211.340411,0.0,0.0,103575.323896,0.916667,0,0.056739,4618.112905051999,0.0,0.0,,,2
M,1,50,25,2,2,1,high,alns_pinn_full,kmeans,3,uav_count,4,,M50_P25_seed1_high_uav_count4_kmeans25,not_milp,1250,148,0.8816,81,73.0,21.0,27.0,4.0,101.0,50.0,900.0,24.0,16.0,21.0,12.0,27.0,40.0,28.0,15.0,17.0,105.960169,656.727944,2211.340411,0.0,0.0,55073.896115,0.916667,0,0.054655,2245.081591052,0.0,0.0,,,4
M,1,50,25,2,2,1,high,alns_pinn_full,kmeans,3,uav_count,6,,M50_P25_seed1_high_uav_count6_kmeans25,not_milp,1250,148,0.8816,81,73.0,21.0,27.0,4.0,101.0,50.0,900.0,24.0,16.0,21.0,12.0,27.0,40.0,28.0,15.0,17.0,73.0353,646.771262,2211.340411,0.0,0.0,39051.044585,0.916667,0,0.054466,1448.4819060519999,0.0,0.0,,,6
M,1,50,25,2,2,1,high,alns_pinn_full,direct,3,candidate_mode,direct,,M50_P25_seed1_high,not_milp,1250,1250,0.0,1250,73.0,11.0,27.0,4.0,101.0,50.0,900.0,25.0,17.0,22.0,12.0,24.0,40.0,30.0,17.0,13.0,117.114344,687.184462,2583.631641,0.0,0.0,61053.166253,0.916667,0,0.053548,2593.994906812,0.0,0.0,,,
M,1,50,25,2,2,1,high,alns_pinn_full,kmeans,3,candidate_mode,kmeans,,M50_P25_seed1_high_kmeans25,not_milp,1250,148,0.8816,81,73.0,21.0,27.0,4.0,101.0,50.0,900.0,24.0,16.0,21.0,12.0,27.0,40.0,28.0,15.0,17.0,105.960169,656.727944,2211.340411,0.0,0.0,55073.896115,0.916667,0,0.060082,2245.081591052,0.0,0.0,,,
M,1,50,25,2,2,1,high,alns_pinn_full,dbscan,3,candidate_mode,dbscan,,M50_P25_seed1_high_dbscan3,not_milp,150,70,0.533333,10,76.0,18.0,24.0,3.0,101.0,50.0,900.0,21.0,23.0,19.0,15.0,22.0,34.0,37.0,10.0,19.0,329.065084,298.85981,8977.04669,0.7,0.7,161473.792629,0.666667,2759.7182,0.011678,7441.407558052,0.0,0.0,,,
M,1,50,25,2,2,2,high,alns_pinn_full,kmeans,3,quantile_z,1.28,1.28,M50_P25_seed2_high_kmeans25,not_milp,1250,148,0.8816,80,75.0,15.0,25.0,5.0,101.0,50.0,900.0,20.0,18.0,25.0,15.0,22.0,35.0,37.0,13.0,15.0,108.349151,617.895364,2360.349157,0.0,0.0,39198.425616,0.916667,0,0.054402,2341.6276099295997,0.0,0.0,,,
M,1,50,25,2,2,2,high,alns_pinn_full,kmeans,3,quantile_z,1.645,1.645,M50_P25_seed2_high_kmeans25,not_milp,1250,146,0.8832,70,76.0,19.0,24.0,5.0,101.0,50.0,900.0,19.0,18.0,26.0,15.0,22.0,34.0,38.0,12.0,16.0,109.183729,642.560367,2362.103865,0.0,0.0,39139.690643,0.916667,0,0.062437,2346.8271987296,0.0,0.0,,,
M,1,50,25,2,2,2,high,alns_pinn_full,kmeans,3,quantile_z,1.96,1.96,M50_P25_seed2_high_kmeans25,not_milp,1250,144,0.8848,64,77.0,15.0,23.0,5.0,101.0,50.0,900.0,19.0,17.0,24.0,19.0,21.0,36.0,39.0,11.0,14.0,109.783442,632.085189,2363.695069,0.0,0.0,39124.655513,0.833333,0,0.077504,2345.5729069296,0.0,0.0,,,
