size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,sensitivity_factor,sensitivity_level,quantile_z,scenario_id,milp_status,milp_reference_scope,milp_optimizes_rwct,milp_completion_time_scope,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,baseline_family,baseline_candidate_evaluations,baseline_generations,baseline_population_size,baseline_ant_count,baseline_best_order_score,alns_use_quantile,alns_risk_value_weight,alns_adaptive_enabled,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,repair_energy_minimum_insert_repair_uses,repair_synchronization_aware_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct,reserve_ratio,iteration_budget,uav_count_override
M,1,50,25,2,2,7,high,alns_pinn_full,kmeans,3,reserve_ratio,0.08,,M50_P25_seed7_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,79,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,77.0,19.0,23.0,7.0,101.0,50.0,900.0,26.0,18.0,24.0,17.0,15.0,43.0,30.0,14.0,13.0,450.677628,615.329967,2264.168842,0.0,0.0,116.711142,0.833333,0.833333,0,0.100092,10469.00971471192,0.0,0.0,0.08,,
M,1,50,25,2,2,7,high,alns_pinn_full,kmeans,3,reserve_ratio,0.12,,M50_P25_seed7_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,76,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,77.0,19.0,23.0,7.0,101.0,50.0,900.0,26.0,18.0,24.0,17.0,15.0,43.0,30.0,14.0,13.0,450.677628,615.329967,2264.168842,0.0,0.0,116.711142,0.833333,0.833333,0,0.100688,10469.00971471192,0.0,0.0,0.12,,
M,1,50,25,2,2,7,high,alns_pinn_full,kmeans,3,reserve_ratio,0.2,,M50_P25_seed7_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,66,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,81.0,21.0,19.0,7.0,101.0,50.0,900.0,32.0,20.0,14.0,14.0,20.0,40.0,36.0,7.0,17.0,456.201476,605.843743,2265.865611,0.0,0.0,119.345018,0.833333,0.833333,0,0.105776,10600.617272671925,0.0,0.0,0.2,,
M,1,50,25,2,2,7,high,alns_pinn_full,kmeans,3,iteration_budget,50,,M50_P25_seed7_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,76,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,36.0,14.0,14.0,7.0,51.0,50.0,450.0,11.0,7.0,15.0,8.0,9.0,23.0,12.0,9.0,6.0,450.677628,615.329967,2264.168842,0.0,0.0,116.711142,0.833333,0.833333,0,0.086765,10469.00971471192,0.0,0.0,,50,
M,1,50,25,2,2,7,high,alns_pinn_full,kmeans,3,iteration_budget,100,,M50_P25_seed7_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,76,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,77.0,19.0,23.0,7.0,101.0,50.0,900.0,26.0,18.0,24.0,17.0,15.0,43.0,30.0,14.0,13.0,450.677628,615.329967,2264.168842,0.0,0.0,116.711142,0.833333,0.833333,0,0.104398,10469.00971471192,0.0,0.0,,100,
M,1,50,25,2,2,7,high,alns_pinn_full,kmeans,3,iteration_budget,160,,M50_P25_seed7_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,76,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,127.0,21.0,33.0,7.0,161.0,50.0,1440.0,38.0,32.0,34.0,32.0,24.0,65.0,58.0,19.0,18.0,450.677628,615.329967,2264.168842,0.0,0.0,116.711142,0.833333,0.833333,0,0.104931,10469.00971471192,0.0,0.0,,160,
M,1,50,25,2,2,7,high,alns_pinn_full,kmeans,3,uav_count,2,,M50_P25_seed7_high_uav_count2_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,76,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,77.0,19.0,23.0,7.0,101.0,50.0,900.0,26.0,18.0,24.0,17.0,15.0,43.0,30.0,14.0,13.0,488.983494,661.873025,2264.168842,0.0,0.0,140.412498,1.0,1.0,0,0.089887,12246.39394871192,0.0,0.0,,,2
M,1,50,25,2,2,7,high,alns_pinn_full,kmeans,3,uav_count,4,,M50_P25_seed7_high_uav_count4_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,76,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,77.0,19.0,23.0,7.0,101.0,50.0,900.0,26.0,18.0,24.0,17.0,15.0,43.0,30.0,14.0,13.0,450.677628,615.329967,2264.168842,0.0,0.0,116.711142,0.833333,0.833333,0,0.091204,10469.00971471192,0.0,0.0,,,4
M,1,50,25,2,2,7,high,alns_pinn_full,kmeans,3,uav_count,6,,M50_P25_seed7_high_uav_count6_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,76,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,77.0,19.0,23.0,7.0,101.0,50.0,900.0,26.0,18.0,24.0,17.0,15.0,43.0,30.0,14.0,13.0,450.677628,615.329967,2264.168842,0.0,0.0,116.711142,0.833333,0.833333,0,0.088589,10469.00971471192,0.0,0.0,,,6
M,1,50,25,2,2,7,high,alns_pinn_full,direct,3,candidate_mode,direct,,M50_P25_seed7_high,not_milp,not_milp,False,not_milp,1250,1250,0.0,75,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,74.0,10.0,26.0,6.0,101.0,50.0,900.0,24.0,17.0,24.0,17.0,18.0,41.0,31.0,14.0,14.0,504.231568,655.284765,2662.91259,0.0,0.0,134.326727,0.916667,0.916667,0,0.100161,11858.11809867192,0.0,0.0,,,
