size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,sensitivity_factor,sensitivity_level,quantile_z,scenario_id,milp_status,milp_reference_scope,milp_optimizes_rwct,milp_completion_time_scope,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,baseline_family,baseline_candidate_evaluations,baseline_generations,baseline_population_size,baseline_ant_count,baseline_best_order_score,alns_use_quantile,alns_risk_value_weight,alns_adaptive_enabled,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,repair_energy_minimum_insert_repair_uses,repair_synchronization_aware_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,sortie_count,avg_towers_per_sortie,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct,reserve_ratio,iteration_budget,uav_count_override
M,1,50,25,2,2,1,high,alns_pinn_full,kmeans,3,reserve_ratio,0.2,,M50_P25_seed1_high_kmeans25,not_milp,not_milp,False,not_milp,1250,146,0.8832,63,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,79.0,13.0,21.0,4.0,101.0,50.0,900.0,22.0,25.0,14.0,15.0,24.0,38.0,37.0,11.0,14.0,441.340219,590.630016,2213.070908,0.0,0.0,129.796685,0.916667,0.916667,50,1.0,0,0.094164,10675.417872064223,0.0,0.0,0.2,,
M,1,50,25,2,2,1,high,alns_pinn_full,kmeans,3,iteration_budget,50,,M50_P25_seed1_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,81,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,39.0,12.0,11.0,4.0,51.0,50.0,450.0,11.0,10.0,9.0,5.0,15.0,19.0,17.0,5.0,9.0,441.195453,590.630016,2211.340411,0.0,0.0,129.796685,0.916667,0.916667,50,1.0,0,0.092962,10676.289325304222,0.0,0.0,,50,
M,1,50,25,2,2,1,high,alns_pinn_full,kmeans,3,iteration_budget,100,,M50_P25_seed1_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,81,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,80.0,14.0,20.0,4.0,101.0,50.0,900.0,22.0,25.0,14.0,15.0,24.0,38.0,37.0,11.0,14.0,441.195453,590.630016,2211.340411,0.0,0.0,129.796685,0.916667,0.916667,50,1.0,0,0.091261,10676.289325304222,0.0,0.0,,100,
M,1,50,25,2,2,1,high,alns_pinn_full,kmeans,3,iteration_budget,160,,M50_P25_seed1_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,81,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,133.0,15.0,27.0,4.0,161.0,50.0,1440.0,31.0,45.0,24.0,27.0,33.0,54.0,73.0,14.0,19.0,441.195453,590.630016,2211.340411,0.0,0.0,129.796685,0.916667,0.916667,50,1.0,0,0.089273,10676.289325304222,0.0,0.0,,160,
M,1,50,25,2,2,1,high,alns_pinn_full,kmeans,3,uav_count,2,,M50_P25_seed1_high_uav_count2_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,81,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,80.0,14.0,20.0,4.0,101.0,50.0,900.0,22.0,25.0,14.0,15.0,24.0,38.0,37.0,11.0,14.0,463.308767,595.260146,2211.340411,0.0,0.0,134.01546,0.916667,0.916667,50,1.0,0,0.081989,11042.018439304222,0.0,0.0,,,2
M,1,50,25,2,2,1,high,alns_pinn_full,kmeans,3,uav_count,4,,M50_P25_seed1_high_uav_count4_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,81,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,80.0,14.0,20.0,4.0,101.0,50.0,900.0,22.0,25.0,14.0,15.0,24.0,38.0,37.0,11.0,14.0,441.195453,590.630016,2211.340411,0.0,0.0,129.796685,0.916667,0.916667,50,1.0,0,0.080746,10676.289325304222,0.0,0.0,,,4
M,1,50,25,2,2,1,high,alns_pinn_full,kmeans,3,uav_count,6,,M50_P25_seed1_high_uav_count6_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,81,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,80.0,14.0,20.0,4.0,101.0,50.0,900.0,22.0,25.0,14.0,15.0,24.0,38.0,37.0,11.0,14.0,441.195453,590.630016,2211.340411,0.0,0.0,129.796685,0.916667,0.916667,50,1.0,0,0.084087,10676.289325304222,0.0,0.0,,,6
M,1,50,25,2,2,1,high,alns_pinn_full,direct,3,candidate_mode,direct,,M50_P25_seed1_high,not_milp,not_milp,False,not_milp,1250,1250,0.0,77,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,73.0,6.0,27.0,6.0,101.0,50.0,900.0,25.0,13.0,25.0,17.0,20.0,45.0,28.0,14.0,13.0,496.366814,634.936846,2583.631641,0.0,0.0,139.206569,1.0,1.0,50,1.0,0,0.075948,11846.689275064218,0.0,0.0,,,
M,1,50,25,2,2,1,high,alns_pinn_full,kmeans,3,candidate_mode,kmeans,,M50_P25_seed1_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,81,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,80.0,14.0,20.0,4.0,101.0,50.0,900.0,22.0,25.0,14.0,15.0,24.0,38.0,37.0,11.0,14.0,441.195453,590.630016,2211.340411,0.0,0.0,129.796685,0.916667,0.916667,50,1.0,0,0.081768,10676.289325304222,0.0,0.0,,,
M,1,50,25,2,2,1,high,alns_pinn_full,dbscan,3,candidate_mode,dbscan,,M50_P25_seed1_high_dbscan3,not_milp,not_milp,False,not_milp,150,70,0.533333,10,,0.0,0.0,0.0,0.0,0.0,True,0.25,True,77.0,16.0,23.0,14.0,101.0,50.0,900.0,31.0,13.0,20.0,12.0,24.0,40.0,35.0,14.0,11.0,496.625137,197.990236,8977.04669,0.7,0.7,118.566139,0.416667,0.166667,50,1.0,2759.7182,0.020593,10138.905666304221,0.0,0.0,,,
