size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,sensitivity_factor,sensitivity_level,quantile_z,scenario_id,milp_status,milp_reference_scope,milp_optimizes_rwct,milp_completion_time_scope,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,baseline_family,baseline_candidate_evaluations,baseline_generations,baseline_population_size,baseline_ant_count,baseline_best_order_score,implementation_family,service_graph_pattern_count,service_graph_feasible_count,selected_sortie_count,missed_service_count,duplicate_service_count,objective_rwct,objective_makespan,objective_ground_travel,objective_q95_energy,objective_missed_penalty,objective_duplicate_penalty,objective_total,alns_use_quantile,alns_risk_value_weight,alns_adaptive_enabled,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,alns_portfolio_candidate_count,alns_selected_portfolio_candidate,alns_selected_portfolio_infeasible_count,alns_selected_portfolio_rwct,alns_selected_portfolio_makespan,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,repair_energy_minimum_insert_repair_uses,repair_synchronization_aware_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,sortie_count,avg_towers_per_sortie,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct,reserve_ratio,iteration_budget,uav_count_override
M,1,50,25,2,2,6,high,alns_pinn_full,dbscan,3,candidate_mode,dbscan,,M50_P25_seed6_high_dbscan3,not_milp,not_milp,False,not_milp,150,68,0.546667,9,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,1226.0,15.0,50.0,0.0,0.0,106.403784,420.252257,109.31334999999997,14815.404424999999,0.0,0.0,9870.538550510137,True,0.25,True,77.0,30.0,23.0,0.0,101.0,50.0,892.0,7.0,risk_bucket_stop_4,37.0,106.403784,420.252257,11.0,27.0,18.0,21.0,23.0,26.0,22.0,29.0,23.0,433.142567,150.168781,9548.30063,0.74,0.74,106.403784,0.833333,0.083333,50,1.0,2655.6337,0.260304,9870.538550510137,0.0,0.0,,,
M,1,50,25,2,2,7,high,alns_pinn_full,kmeans,3,quantile_z,1.28,1.28,M50_P25_seed7_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,84,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,7991.0,171.0,49.0,0.0,0.0,109.053836,248.857217,224.29678100000004,3187.022609,0.0,0.0,6511.524156711922,True,0.25,True,67.0,34.0,33.0,8.0,101.0,50.0,900.0,7.0,alns_search,0.0,109.053836,248.857217,14.0,23.0,22.0,27.0,14.0,28.0,17.0,31.0,24.0,252.361583,273.297856,2228.600764,0.0,0.0,109.053836,0.5,0.5,49,1.020408,0,1.955554,6511.524156711922,0.0,0.0,,,
M,1,50,25,2,2,7,high,alns_pinn_full,kmeans,3,quantile_z,1.645,1.645,M50_P25_seed7_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,76,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,7991.0,137.0,50.0,0.0,0.0,108.910694,378.031049,413.3775210000001,3515.5487350000008,0.0,0.0,9493.436294711919,True,0.25,True,56.0,19.0,44.0,4.0,101.0,50.0,900.0,7.0,risk_bucket_stop_4,0.0,108.910694,378.031049,13.0,30.0,17.0,27.0,13.0,34.0,22.0,27.0,17.0,403.481497,526.848109,2264.168842,0.0,0.0,108.910694,1.0,1.0,50,1.0,0,1.52716,9493.436294711919,0.0,0.0,,,
M,1,50,25,2,2,7,high,alns_pinn_full,kmeans,3,quantile_z,1.96,1.96,M50_P25_seed7_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,69,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,7991.0,120.0,49.0,0.0,0.0,104.817199,253.743046,229.62047900000002,3703.960112,0.0,0.0,6363.298893791922,True,0.25,True,62.0,30.0,38.0,2.0,101.0,50.0,900.0,7.0,alns_search,0.0,104.817199,253.743046,10.0,29.0,18.0,31.0,12.0,28.0,32.0,18.0,22.0,272.1858,296.936965,2246.863365,0.0,0.0,104.817199,0.5,0.5,49,1.020408,0,1.925016,6363.298893791922,0.0,0.0,,,
M,1,50,25,2,2,7,high,alns_pinn_full,kmeans,3,reserve_ratio,0.08,,M50_P25_seed7_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,79,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,7991.0,155.0,49.0,0.0,0.0,94.270923,228.715405,193.54974200000004,3486.0441669999996,0.0,0.0,5793.2942679919215,True,0.25,True,63.0,28.0,37.0,3.0,101.0,50.0,900.0,7.0,alns_search,0.0,94.270923,228.715405,16.0,24.0,18.0,32.0,10.0,21.0,32.0,36.0,11.0,235.169568,243.647911,2245.166596,0.0,0.0,94.270923,0.583333,0.583333,49,1.020408,0,1.776597,5793.2942679919215,0.0,0.0,0.08,,
M,1,50,25,2,2,7,high,alns_pinn_full,kmeans,3,reserve_ratio,0.12,,M50_P25_seed7_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,76,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,7991.0,137.0,50.0,0.0,0.0,108.910694,378.031049,413.3775210000001,3515.5487350000008,0.0,0.0,9493.436294711919,True,0.25,True,56.0,19.0,44.0,4.0,101.0,50.0,900.0,7.0,risk_bucket_stop_4,0.0,108.910694,378.031049,13.0,30.0,17.0,27.0,13.0,34.0,22.0,27.0,17.0,403.481497,526.848109,2264.168842,0.0,0.0,108.910694,1.0,1.0,50,1.0,0,1.495736,9493.436294711919,0.0,0.0,0.12,,
M,1,50,25,2,2,7,high,alns_pinn_full,kmeans,3,reserve_ratio,0.2,,M50_P25_seed7_high_kmeans25,not_milp,not_milp,False,not_milp,1250,148,0.8816,66,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,7991.0,104.0,47.0,0.0,0.0,94.484623,248.165156,226.20417999999998,3411.83544,0.0,0.0,6308.94597787192,True,0.25,True,64.0,32.0,36.0,2.0,101.0,50.0,900.0,7.0,alns_search,0.0,94.484623,248.165156,11.0,20.0,15.0,33.0,21.0,31.0,25.0,20.0,24.0,266.60791,303.865633,2210.947048,0.0,0.0,94.484623,0.583333,0.583333,47,1.06383,0,1.724013,6308.94597787192,0.0,0.0,0.2,,
M,1,50,25,2,2,7,high,alns_pinn_full,kmeans,3,iteration_budget,50,,M50_P25_seed7_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,76,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,7991.0,137.0,50.0,0.0,0.0,93.876538,254.065075,233.22440799999998,3515.5487350000008,0.0,0.0,6415.61822671192,True,0.25,True,27.0,9.0,23.0,2.0,51.0,50.0,450.0,7.0,alns_search,0.0,93.876538,254.065075,8.0,11.0,6.0,16.0,9.0,18.0,9.0,13.0,10.0,269.874399,312.0559,2264.168842,0.0,0.0,93.876538,0.666667,0.666667,50,1.0,0,0.772887,6415.61822671192,0.0,0.0,,50,
M,1,50,25,2,2,7,high,alns_pinn_full,kmeans,3,iteration_budget,100,,M50_P25_seed7_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,76,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,7991.0,137.0,50.0,0.0,0.0,108.910694,378.031049,413.3775210000001,3515.5487350000008,0.0,0.0,9493.436294711919,True,0.25,True,56.0,19.0,44.0,4.0,101.0,50.0,900.0,7.0,risk_bucket_stop_4,0.0,108.910694,378.031049,13.0,30.0,17.0,27.0,13.0,34.0,22.0,27.0,17.0,403.481497,526.848109,2264.168842,0.0,0.0,108.910694,1.0,1.0,50,1.0,0,1.464794,9493.436294711919,0.0,0.0,,100,
M,1,50,25,2,2,7,high,alns_pinn_full,kmeans,3,iteration_budget,160,,M50_P25_seed7_high_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,76,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,7991.0,137.0,50.0,0.0,0.0,108.910694,378.031049,413.3775210000001,3515.5487350000008,0.0,0.0,9493.436294711919,True,0.25,True,88.0,30.0,72.0,4.0,161.0,50.0,1440.0,7.0,risk_bucket_stop_4,0.0,108.910694,378.031049,18.0,58.0,27.0,39.0,18.0,50.0,35.0,52.0,23.0,403.481497,526.848109,2264.168842,0.0,0.0,108.910694,1.0,1.0,50,1.0,0,2.416614,9493.436294711919,0.0,0.0,,160,
M,1,50,25,2,2,7,high,alns_pinn_full,kmeans,3,uav_count,2,,M50_P25_seed7_high_uav_count2_kmeans25,not_milp,not_milp,False,not_milp,1250,150,0.88,76,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,7991.0,137.0,47.0,0.0,0.0,118.961768,347.403443,302.62741900000003,3396.343153,0.0,0.0,8670.908289431918,True,0.25,True,57.0,16.0,43.0,1.0,101.0,50.0,900.0,7.0,alns_search,0.0,118.961768,347.403443,15.0,34.0,18.0,23.0,10.0,35.0,27.0,21.0,17.0,363.0585,374.581867,2187.395176,0.0,0.0,118.961768,0.666667,0.666667,47,1.06383,0,1.583054,8670.908289431918,0.0,0.0,,,2
